#gen      BHL
           0     506.224
           1     499.059
           2     489.762
           3     480.849
           4     470.597
           5     458.683
           6      449.16
           7     441.456
           8     437.002
           9     429.484
          10     424.289
          11     417.835
          12     411.188
          13      406.22
          14     400.853
          15     397.013
          16     393.273
          17     391.258
          18     386.466
          19     381.707
          20      380.01
          21     374.404
          22      366.56
          23     359.874
          24     353.835
          25     348.336
          26     345.571
          27     341.213
          28     337.274
          29     333.694
          30     331.053
          31     326.222
          32     319.986
          33     315.681
          34     312.972
          35     311.899
          36     308.983
          37     306.487
          38     302.809
          39     298.739
          40     292.526
          41     288.234
          42     286.043
          43     284.717
          44     281.186
          45     278.977
          46     274.683
          47     271.262
          48     271.019
          49     269.383
          50      267.26
          51     266.905
          52     264.897
          53     263.184
          54     261.059
          55     259.293
          56     257.198
          57     254.794
          58     252.994
          59      252.41
          60     250.532
          61       247.9
          62     246.566
          63     245.771
          64     244.599
          65     244.214
          66     242.867
          67     242.084
          68     240.811
          69      240.91
          70     237.438
          71      234.67
          72     232.576
          73      230.92
          74     229.726
          75     228.628
          76     226.329
          77     223.881
          78     223.104
          79     222.464
          80     220.535
          81      219.44
          82      217.49
          83      215.73
          84     213.448
          85     211.792
          86     207.809
          87      206.23
          88     203.835
          89     202.594
          90     200.126
          91      199.09
          92     197.122
          93     196.376
          94     195.449
          95     196.604
          96     195.695
          97     196.403
          98     195.964
          99     195.703
           0     194.181
           1     193.248
           2     194.857
           3      193.21
           4     191.867
           5     190.258
           6     190.684
           7     189.436
           8     188.424
           9     188.574
          10     187.518
          11     186.256
          12     183.915
          13     183.041
          14      180.99
          15     180.245
          16      179.34
          17     177.978
          18     176.358
          19     174.621
          20     174.372
          21      173.69
          22     173.943
          23     174.768
          24     174.633
          25     173.915
          26     173.408
          27     170.954
          28     169.415
          29     169.287
          30       168.8
          31     168.709
          32     168.685
          33     165.506
          34     165.054
          35      163.94
          36     163.828
          37     163.428
          38     163.668
          39     163.846
          40      162.97
          41     163.038
          42     163.502
          43     162.052
          44     159.828
          45     159.177
          46     159.253
          47     158.731
          48     159.424
          49     160.203
          50     158.415
          51     157.359
          52     156.195
          53     155.328
          54     156.112
          55      155.24
          56     155.656
          57     155.058
          58     153.542
          59     154.069
          60     154.193
          61     153.053
          62     152.681
          63     152.581
          64     151.877
          65     151.909
          66     150.741
          67     150.787
          68     150.915
          69     151.346
          70     150.577
          71     151.599
          72     150.293
          73     149.993
          74     148.956
          75     147.708
          76      147.14
          77     147.549
          78     146.938
          79     147.434
          80     146.893
          81     146.713
          82     146.142
          83     143.183
          84     142.809
          85     141.865
          86     142.419
          87       139.1
          88     138.154
          89     138.048
          90     137.508
          91     136.708
          92      135.08
          93     134.574
          94     134.098
          95     133.743
          96     132.861
          97     131.563
          98     131.045
          99     131.313
           0     130.421
           1     129.549
           2     128.668
           3      129.16
           4     128.533
           5     128.249
           6     127.848
           7     127.652
           8     127.412
           9     127.026
          10      126.67
          11     126.805
          12     127.624
          13     128.785
          14     129.045
          15     127.902
          16     129.372
          17     128.641
          18     127.326
          19      128.09
          20     125.865
          21     126.405
          22     127.205
          23     127.841
          24     127.289
          25     126.789
          26      124.28
          27       123.6
          28     123.833
          29     123.639
          30     123.701
          31     124.314
          32     123.335
          33     125.423
          34     123.873
          35     124.893
          36     124.404
          37     124.102
          38      127.01
          39     126.746
          40      124.93
          41     126.158
          42     125.776
          43      124.68
          44     123.862
          45      124.24
          46     123.526
          47     123.852
          48     124.417
          49     123.072
          50     122.431
          51     120.526
          52     121.606
          53     120.999
          54     120.386
          55     122.895
          56     122.106
          57     122.532
          58     122.612
          59     122.512
          60     124.201
          61     123.744
          62     122.856
          63     121.444
          64     121.987
          65     122.363
          66     121.886
          67      121.67
          68     121.946
          69     122.398
          70     120.904
          71     120.133
          72     119.744
          73     120.407
          74     119.794
          75     118.284
          76     118.699
          77     118.672
          78     117.134
          79     117.873
          80     117.816
          81     118.735
          82     119.953
          83     119.235
          84     119.744
          85     119.303
          86     121.118
          87     119.138
          88     117.826
          89     116.317
          90     116.813
          91      116.39
          92     118.369
          93     119.921
          94     119.731
          95     120.046
          96     120.435
          97     118.423
          98     116.934
          99     117.936
           0     118.018
           1     117.847
           2      117.44
           3     116.721
           4     114.719
           5     114.093
           6      114.09
           7     114.617
           8     114.713
           9     113.471
          10     113.084
          11     113.656
          12      116.19
          13     113.839
          14     113.499
          15     113.094
          16     111.385
          17     109.823
          18     109.617
          19     109.184
          20     108.481
          21     108.469
          22     109.063
          23     110.432
          24     109.898
          25     110.154
          26     110.338
          27     110.218
          28     110.507
          29     111.256
          30     111.292
          31     112.172
          32     111.042
          33     110.558
          34     111.342
          35     111.079
          36     111.211
          37      111.64
          38     110.692
          39     108.596
          40     108.639
          41     109.719
          42     110.139
          43     112.389
          44     110.502
          45     107.986
          46     107.102
          47      106.19
          48     106.084
          49     106.372
          50     107.345
          51      108.49
          52     107.239
          53     107.733
          54     108.453
          55     108.532
          56     107.932
          57      107.41
          58       106.8
          59     105.636
          60      107.97
          61     108.213
          62     108.861
          63     109.286
          64     110.218
          65     107.879
          66     107.361
          67     108.714
          68      108.72
          69     107.546
          70     107.233
          71     109.126
          72     110.201
          73     107.576
          74     108.697
          75     110.129
          76     108.695
          77     107.776
          78     107.982
          79     106.846
          80     105.663
          81     106.412
          82     105.805
          83     105.494
          84     105.982
          85     107.608
          86     106.013
          87      106.92
          88     107.042
          89     106.449
          90     105.609
          91     106.496
          92     105.352
          93     106.786
          94     107.032
          95     107.869
          96     108.289
          97     105.955
          98     104.887
          99      104.76
           0     104.809
           1     105.444
           2     104.765
           3     103.392
           4     104.353
           5     103.709
           6      101.93
           7     101.623
           8     101.776
           9     100.934
          10     99.2007
          11     98.5441
          12     98.8019
          13      97.939
          14     98.2867
          15     98.0127
          16     99.0091
          17     99.0027
          18     98.3497
          19     98.3323
          20     97.7093
          21     96.4308
          22     96.6178
          23     97.3976
          24     98.0576
          25     98.3449
          26     98.0222
          27     98.3163
          28      98.005
          29     97.1258
          30     97.2932
          31      96.132
          32     96.8607
          33     96.7025
          34     95.8078
          35      95.654
          36     96.4456
          37     96.8406
          38     94.8734
          39     95.6659
          40     95.7029
          41     95.4172
          42     96.9298
          43     96.1613
          44     96.2621
          45     96.8885
          46     95.8221
          47     95.6359
          48     96.6922
          49     97.0055
          50     96.4425
          51     96.3258
          52     95.5178
          53     94.7638
          54     94.4701
          55     93.2469
          56     92.9298
          57     92.8805
          58     91.8605
          59     92.5164
          60     92.7941
          61      93.133
          62     93.3462
          63     94.5509
          64      94.283
          65     94.5106
          66     93.1686
          67     94.2265
          68     93.6031
          69     93.8457
          70     92.7958
          71     91.5813
          72     91.8146
          73     92.8491
          74     92.4555
          75     92.3586
          76     91.5629
          77     90.6058
          78     90.5925
          79     91.3435
          80     91.2445
          81     91.5639
          82     91.7753
          83      92.761
          84     91.8808
          85       92.72
          86     90.8707
          87     90.4532
          88     90.4541
          89      89.828
          90     90.5446
          91     91.4844
          92     91.1759
          93     92.4301
          94      91.851
          95     91.3448
          96     91.2163
          97     90.4402
          98     91.1165
          99     91.1312
           0     90.1642
           1     90.7095
           2     89.9464
           3     91.2934
           4     89.9717
           5     90.2311
           6     89.6846
           7     91.2579
           8     89.9382
           9     89.8422
          10     90.3425
          11     89.9732
          12     89.8447
          13     90.4788
          14     91.2747
          15     91.7557
          16     93.5488
          17     91.8009
          18      92.375
          19     91.9925
          20     92.5941
          21     94.0255
          22     94.3625
          23     93.1727
          24      93.269
          25     92.0597
          26     91.6517
          27     90.8249
          28     90.5157
          29     90.2279
          30     89.3918
          31     90.9328
          32     91.0825
          33     90.2315
          34     90.4505
          35     91.2019
          36     90.3923
          37     90.8243
          38     91.2219
          39     92.0477
          40     91.4492
          41     92.5218
          42     92.1142
          43     92.5749
          44     90.7885
          45     91.3675
          46     91.8576
          47      91.459
          48      91.464
          49     91.7716
          50     93.6757
          51     91.5627
          52     92.6246
          53     92.4547
          54     92.6794
          55     90.8727
          56     91.5399
          57     91.2533
          58     90.4318
          59      89.115
          60     89.0592
          61     89.5314
          62     89.1909
          63       89.48
          64     88.8324
          65     89.4143
          66     89.4209
          67     90.0945
          68     90.8496
          69      89.314
          70      87.794
          71     86.5099
          72     87.2126
          73     89.6076
          74     88.9015
          75     88.2927
          76     87.8682
          77     88.7697
          78     89.6304
          79     89.1379
          80     88.8643
          81     88.3364
          82     88.8297
          83     89.7935
          84     89.3501
          85     87.6671
          86     89.3333
          87     89.0998
          88     89.0744
          89      86.587
          90     87.5574
          91     87.8395
          92     87.9647
          93      88.179
          94     87.5603
          95     87.5184
          96     87.6763
          97     87.4696
          98     89.0374
          99     89.8361
           0      87.505
           1     88.4049
           2     89.0857
           3     89.3161
           4     87.6096
           5     85.6534
           6     84.6063
           7     85.5778
           8     83.3882
           9     82.7413
          10     83.0633
          11     83.8766
          12     83.8871
          13     83.9897
          14     82.6486
          15     82.8601
          16     82.8501
          17     82.8132
          18      84.816
          19     82.1656
          20     82.2642
          21     83.2024
          22     84.6367
          23     83.1623
          24     82.8352
          25     82.9971
          26     82.8224
          27     83.9599
          28     83.1076
          29     82.9698
          30     83.3872
          31     82.4409
          32     82.3875
          33     82.1513
          34     81.6328
          35     81.5706
          36     82.2452
          37     81.3762
          38     82.3432
          39     84.1671
          40     83.0894
          41      83.443
          42     83.6348
          43     83.2891
          44     82.8914
          45     82.9806
          46     81.7736
          47     83.2316
          48     83.1973
          49     83.0268
          50     81.5342
          51     81.4676
          52     80.8852
          53     80.5715
          54     80.5692
          55     83.5399
          56     83.8945
          57     82.4416
          58     82.6151
          59     84.4409
          60     83.2325
          61     83.4193
          62     84.1128
          63      83.006
          64     81.7905
          65     82.1001
          66     81.6027
          67     80.9093
          68     80.6203
          69     81.5232
          70     81.7144
          71     81.7867
          72     84.0656
          73      86.487
          74     82.5156
          75     82.2253
          76     81.1436
          77     80.5087
          78     80.5998
          79     80.4083
          80     79.3904
          81     79.0802
          82     80.2357
          83     79.8148
          84     81.9468
          85     82.1518
          86     82.4443
          87      80.611
          88     81.4055
          89      82.024
          90     81.5245
          91     80.8842
          92     82.9327
          93     83.2904
          94     83.0846
          95     82.1811
          96     80.6559
          97     83.7853
          98     83.4945
          99     81.4724
           0     82.4263
           1     83.8545
           2     81.8028
           3     80.9472
           4     80.3057
           5     80.0348
           6     79.7173
           7      80.523
           8     81.6251
           9     81.1509
          10     79.7251
          11     82.0544
          12     82.3336
          13     81.0734
          14     82.3978
          15      83.394
          16     82.7097
          17     80.6679
          18     81.2762
          19     83.1521
          20     84.0129
          21     83.7047
          22     81.6935
          23     80.1836
          24     80.2105
          25     83.3347
          26     81.8982
          27     83.2464
          28     80.9189
          29     77.7878
          30     79.9431
          31     80.4198
          32     79.5626
          33       79.85
          34     79.5665
          35     82.1099
          36     81.2851
          37      81.418
          38     82.8734
          39     79.9131
          40     79.8861
          41     79.5725
          42     78.8508
          43     79.6959
          44     79.0435
          45     79.0299
          46     80.7789
          47      80.285
          48     79.5056
          49     81.7631
          50     80.5214
          51      81.375
          52     81.9266
          53     81.3356
          54     80.6863
          55     80.2077
          56     81.3866
          57     79.9104
          58     80.5553
          59     80.7281
          60     81.8586
          61      80.774
          62     80.0266
          63     80.3439
          64     81.5787
          65     81.5686
          66     80.0648
          67     80.4277
          68     79.7683
          69     79.9086
          70      78.273
          71     79.1298
          72     80.4351
          73     82.8274
          74     79.8887
          75     81.3987
          76      80.872
          77     80.3162
          78     80.1313
          79     79.8026
          80     80.1378
          81     80.2603
          82     81.9234
          83     79.9535
          84      80.058
          85     79.2702
          86     79.1542
          87     79.5067
          88     80.3405
          89     79.4258
          90     79.1906
          91      80.797
          92     80.3387
          93     82.8298
          94     83.0208
          95     81.2076
          96     80.9385
          97     81.3918
          98     81.6279
          99     80.6901
           0     80.6081
           1     82.3579
           2     79.7974
           3     81.5889
           4     80.3856
           5      79.542
           6     78.0312
           7     78.6822
           8     78.3998
           9     76.9798
          10      76.788
          11     77.7798
          12     77.0758
          13     76.6513
          14     76.8365
          15     78.1947
          16      79.099
          17     75.6353
          18     74.7108
          19     76.3756
          20      75.452
          21     75.8386
          22     75.5503
          23     75.5778
          24     75.7379
          25     75.9007
          26     75.8353
          27     76.3534
          28     76.2497
          29     76.7376
          30     77.7345
          31      77.135
          32     77.8019
          33     76.6924
          34     77.0625
          35     78.9274
          36     79.3389
          37     78.4767
          38     77.7758
          39     77.1322
          40      76.594
