#gen      BHL
           6     20.2986
           7     20.0988
           8     19.4657
           9     19.7113
          10     19.4506
          11      19.532
          12      20.115
          13     20.4542
          14     19.8448
          15     19.7836
          16     19.7053
          17     19.6877
          18     19.1935
          19      19.264
          20     19.0161
          21     19.1645
          22     18.6655
          23     19.0102
          24     19.1508
          25     19.0887
          26     18.9849
          27     18.6075
          28     18.8987
          29     18.8714
          30     18.8955
          31     19.0562
          32     18.9659
          33     19.2735
          34     19.0471
          35      19.214
          36     19.2722
          37     18.9134
          38     18.5745
          39      18.686
          40     18.7828
          41     19.3045
          42     19.3523
          43     19.1733
          44     18.7889
          45      18.834
          46      18.894
          47     18.9181
          48     19.0285
          49     19.4304
          50     19.0782
          51     19.0076
          52     18.8383
          53     18.6992
          54     18.5364
          55     18.5402
          56     18.4899
          57     18.7072
          58     18.8513
          59     18.7479
          60     18.3469
          61     18.2645
          62     18.5964
          63     18.6361
          64     19.1251
          65      18.979
          66     19.0833
          67     19.0722
          68      18.737
          69     19.2356
          70     18.7827
          71     18.9258
          72      18.779
          73     19.1518
          74     19.1282
          75     19.2689
          76     19.2796
          77     18.7819
          78     18.3785
          79     18.8544
          80     19.1411
          81     18.8671
          82     19.0454
          83     19.0657
          84     18.6364
          85     19.1853
          86     19.1108
          87     18.8066
          88     18.4809
          89     18.6455
          90     18.9292
          91     18.9161
          92      18.354
          93     18.6664
          94     18.3882
          95     19.1838
          96     18.9767
          97     19.3573
          98     19.0654
          99     18.5975
           0     18.3675
           1     18.5671
           2      18.636
           3      18.515
           4     18.8557
           5     19.1761
           6     18.8402
           7     19.0199
           8     19.3935
           9     18.8729
          10     18.8737
          11     19.0961
          12     19.0114
          13     18.7613
          14     18.6014
          15     19.1055
          16     18.9236
          17     19.0908
          18      18.358
          19     18.9311
          20     18.6804
          21     18.6296
          22     18.5658
          23     19.1028
          24     18.7028
          25     18.8943
          26     18.7268
          27     18.8544
          28     19.0294
          29     18.7184
          30      18.546
          31     18.7587
          32     18.5595
          33     18.5254
          34     18.4823
          35     18.2256
          36     18.4752
          37     18.0919
          38     18.0525
          39     18.2552
          40     18.1208
          41     18.3155
          42     18.3718
          43     18.1421
          44     18.3177
          45     18.3745
          46     18.5143
          47     18.7772
          48     19.0671
          49     19.1941
          50     18.7914
          51      18.855
          52     19.0862
          53      19.105
          54     19.1532
          55     19.1734
          56     18.8569
          57     18.5383
          58     18.4149
          59     18.4251
          60     18.3527
          61     18.9387
          62     18.6775
          63     18.3469
          64     18.3063
          65     18.5621
          66     18.3079
          67     18.7093
          68     18.4902
          69     18.3671
          70     17.8764
          71     17.7736
          72     18.0323
          73     17.8548
          74      17.863
          75     18.2143
          76     17.9162
          77     17.9124
          78     18.1544
          79     18.3409
          80     18.2934
          81     17.9796
          82     18.2438
          83     18.1181
