#gen      BHL
           0     551.809
           1     545.828
           2     537.718
           3     530.402
           4     520.723
           5     509.762
           6      499.45
           7     491.912
           8     482.104
           9     473.614
          10     465.009
          11     454.529
          12     443.864
          13     433.193
          14     424.333
          15     420.946
          16     415.805
          17      409.47
          18     404.562
          19     400.446
          20     396.129
          21     393.579
          22     387.864
          23     385.004
          24     377.911
          25     370.901
          26     364.066
          27     363.179
          28     359.503
          29      357.03
          30     354.564
          31     353.016
          32     349.538
          33     346.517
          34     343.061
          35     340.382
          36     336.206
          37     332.814
          38     331.866
          39     329.727
          40     327.956
          41     325.774
          42     323.898
          43     320.129
          44     315.469
          45     310.974
          46     308.238
          47     305.186
          48     301.528
          49     299.646
          50     297.931
          51     294.455
          52     293.997
          53     292.041
          54     292.238
          55     291.238
          56     289.625
          57     287.649
          58     285.217
          59     283.928
          60     279.538
          61     275.222
          62     272.397
          63     268.407
          64     264.626
          65     261.214
          66     262.687
          67     261.329
          68     259.144
          69     256.678
          70     254.074
          71     251.336
          72     248.009
          73     244.143
          74      241.83
          75     239.627
          76     235.797
          77     232.663
          78     228.077
          79      224.81
          80      222.56
          81     222.597
          82      222.54
          83     221.968
          84     221.094
          85      221.06
          86     219.209
          87     219.254
          88     218.744
          89     217.075
          90     216.451
          91     216.693
          92     215.219
          93     213.175
          94     210.805
          95     209.066
          96     209.089
          97     208.078
          98     207.385
          99     205.398
           0     205.621
           1     205.117
           2     204.237
           3     202.146
           4      196.79
           5     190.037
           6     186.696
           7     183.839
           8     183.027
           9     181.182
          10     179.681
          11     180.123
          12      178.24
          13     178.105
          14     178.383
          15     176.404
          16     175.396
          17     173.399
          18     171.663
          19      172.24
          20     173.335
          21     174.013
          22     171.976
          23     171.984
          24     171.029
          25     170.773
          26     171.062
          27     169.724
          28     168.251
          29     166.286
          30     166.696
          31     165.409
          32     164.854
          33     165.075
          34     164.415
          35     165.583
          36     165.416
          37     165.278
          38     164.648
          39     163.773
          40     163.472
          41     163.386
          42     162.383
          43     160.828
          44     162.129
          45     161.974
          46     161.378
          47     161.133
          48     161.952
          49     161.658
          50     160.843
          51      159.82
          52     158.634
          53     157.344
          54     158.109
          55     157.802
          56      159.68
          57     161.989
          58     159.616
          59     158.232
          60     158.055
          61     157.405
          62     156.682
          63      155.78
          64     154.429
          65     152.622
          66     152.694
          67     152.159
          68     150.789
          69     151.349
          70     150.576
          71     150.292
          72      149.87
          73      150.47
          74     150.657
          75     149.675
          76     149.886
          77     150.473
          78     150.043
          79     148.988
          80     147.877
          81     147.064
          82     146.358
          83     148.019
          84     147.653
          85     147.128
          86     146.662
          87     145.909
          88     146.193
          89     145.972
          90      145.43
          91     145.714
          92     144.511
          93     144.431
          94     143.266
          95     144.876
          96      144.46
          97     145.301
          98     145.022
          99     144.953
           0     143.158
           1     143.143
           2     141.934
           3     139.149
           4     138.533
           5     135.424
           6     132.961
           7     132.834
           8     131.141
           9     130.696
          10     129.753
          11     128.949
          12     129.746
          13     130.014
          14      129.34
          15     129.173
          16     128.399
          17     128.678
          18     127.779
          19     127.874
          20     126.771
          21      127.04
          22     126.825
          23     127.411
          24     127.793
          25     126.972
          26     125.395
          27     124.646
          28     124.977
          29      125.19
          30     123.439
          31     124.311
          32     124.798
          33     124.164
          34     122.923
          35     124.065
          36     124.015
          37     124.457
          38     124.769
          39         125
          40     124.756
          41     124.578
          42     122.918
          43     121.901
