#gen      BHL
           0     511.934
           1     504.787
           2     497.512
           3     489.347
           4     483.702
           5      476.18
           6     470.252
           7     462.533
           8     458.543
           9     451.956
          10     445.032
          11     440.537
          12     432.347
          13     426.922
          14     423.471
          15     417.251
          16     413.425
          17     405.644
          18      396.48
          19     391.605
          20     384.759
          21     380.829
          22     374.313
          23     368.667
          24     360.585
          25     355.524
          26     351.941
          27     348.811
          28     344.461
          29     337.727
          30     334.502
          31      325.22
          32     319.184
          33     314.874
          34      312.17
          35      309.88
          36      308.32
          37      303.53
          38     299.269
          39     296.658
          40     293.415
          41     290.397
          42     285.411
          43     281.118
          44     278.352
          45      277.58
          46      273.65
          47     270.538
          48     268.055
          49     267.313
          50      266.66
          51     264.864
          52     262.674
          53     261.098
          54     258.604
          55     255.718
          56     253.834
          57     252.528
          58     250.705
          59     248.592
          60     246.602
          61     245.025
          62      244.47
          63     245.187
          64     243.015
          65     240.926
          66     238.708
          67     238.191
          68     237.973
          69     237.866
          70     235.686
          71     234.716
          72     231.301
          73      228.95
          74     228.982
          75     229.577
          76     229.772
          77     228.598
          78     228.312
          79     224.901
          80     225.071
          81     222.995
          82     223.516
          83     221.859
          84     221.169
          85     219.602
          86     218.114
          87     217.189
          88     215.974
          89      215.29
          90     215.086
          91     213.815
          92     213.903
          93     212.893
          94     212.823
          95     212.062
          96     211.265
          97     210.169
          98     209.603
          99     210.296
           0     210.386
           1     210.937
           2     207.627
           3     206.976
           4     200.703
           5     192.562
           6      190.55
           7     188.757
           8     189.115
           9     188.053
          10     187.662
          11     187.266
          12     185.815
          13     186.308
          14     185.389
          15     185.057
          16      185.35
          17      182.94
          18         182
          19     183.243
          20     180.822
          21     178.711
          22     177.096
          23     174.945
          24     172.734
          25     173.225
          26     172.422
          27     172.713
          28     172.143
          29     168.976
          30     167.975
          31      166.46
          32     167.114
          33     167.462
          34     167.524
          35     167.376
          36     166.805
          37     165.722
          38     164.076
          39     164.392
          40     162.036
          41     160.678
          42      158.97
          43     158.813
          44     158.616
          45     158.877
          46     156.363
          47     156.591
          48     156.691
          49     155.849
          50     155.836
          51     154.399
          52     153.773
          53     153.387
          54     153.638
          55     153.747
          56     153.037
          57     153.504
          58     152.857
          59     151.846
          60     151.185
          61     149.494
          62     149.393
          63     147.078
          64     146.795
          65     146.022
          66     144.633
          67     145.025
          68     143.524
          69     144.827
          70     144.297
          71     142.157
          72     141.922
          73     142.409
          74     141.914
          75     141.164
          76      141.43
          77      141.74
          78     140.425
          79     139.329
          80     140.367
          81     140.444
          82     138.498
          83     137.312
          84     137.708
          85     137.711
          86     137.166
          87     136.914
          88     137.076
          89      136.75
          90     135.551
          91     135.895
          92     136.785
          93     135.637
          94         137
          95      136.89
          96     135.546
          97     135.507
          98     135.667
          99     133.839
           0     133.352
           1     131.834
           2     129.796
           3     127.702
           4     127.753
           5     127.762
           6      127.95
           7     127.234
           8     127.237
           9      126.55
          10     125.809
          11     126.324
          12     126.402
          13     128.113
          14     127.073
          15     126.637
          16     126.095
          17     125.947
          18     124.262
          19     125.961
          20      124.84
          21     125.046
          22     124.899
          23     126.047
          24     125.875
          25     126.255
          26     124.634
          27     126.829
          28     127.329
          29     125.502
          30      123.78
          31     124.795
          32     125.436
          33     125.113
          34     124.649
          35     124.606
          36     123.883
          37     123.267
          38     124.453
          39     125.096
          40     124.798
          41     124.923
          42     124.045
          43     122.508
          44     122.175
          45     122.207
          46     123.305
          47     124.827
          48     125.158
          49     125.045
          50      123.11
          51     123.856
          52     124.671
          53     123.682
          54       121.7
          55     122.322
          56     124.252
          57     123.909
          58     124.176
          59     124.006
          60     124.353
          61     124.314
          62     122.508
          63     121.392
          64     122.548
          65     122.371
          66     121.741
          67      120.22
          68     120.097
          69     119.367
          70     121.327
          71     122.439
          72      121.44
          73     120.395
          74     119.253
          75     120.611
          76     120.772
          77     120.741
          78     123.102
          79     121.764
          80     119.656
          81     120.837
          82     119.692
          83     118.079
          84     119.639
          85      119.53
          86     118.894
          87     119.204
          88     119.663
          89     119.461
          90     119.869
          91     119.011
          92     118.794
          93     117.603
          94     116.809
          95     118.043
          96      117.93
          97     116.917
          98     117.027
          99     117.948
           0     117.441
           1     119.532
           2      119.72
           3     118.633
           4     117.907
           5      118.11
           6     117.912
           7     116.402
           8     114.971
           9     113.736
          10     110.651
          11     108.027
          12     107.971
          13     108.624
          14     109.238
          15     110.028
          16     109.768
          17     109.325
          18     108.692
          19     107.922
          20     107.145
          21     108.194
          22     109.685
          23      110.98
          24     111.071
          25     110.549
          26      109.07
          27     108.286
          28     108.131
          29     106.348
          30     106.598
          31     106.863
          32     107.768
          33     107.059
          34     107.373
          35     106.453
          36     106.139
          37     106.657
          38     106.175
          39     105.571
          40     105.365
          41     104.163
          42     105.375
          43     105.432
          44     106.134
          45     106.167
          46     106.195
          47     105.267
          48     106.313
          49      106.55
          50     105.697
          51     104.836
          52     105.705
          53     104.561
          54     105.571
          55     104.486
          56     104.733
          57     104.398
          58     104.775
          59     104.309
          60      103.53
          61     104.069
          62     105.802
          63     105.287
          64      107.11
          65     105.556
          66     105.338
          67     104.751
          68     105.478
          69     106.557
          70     104.994
          71     102.809
          72     102.999
          73     101.632
          74     102.493
          75     101.717
          76     102.479
          77     103.136
          78     102.296
          79      102.41
          80     101.905
          81     100.999
          82     102.553
          83     101.316
          84     101.062
          85     102.153
          86     102.959
          87     101.604
          88     100.878
          89     99.4343
          90     99.8087
          91     99.3579
          92     99.5939
          93     100.856
          94     102.269
          95     100.408
          96     100.409
          97     100.482
          98     100.845
          99     101.119
           0     100.399
           1     100.413
           2     99.3942
           3     99.5518
           4     98.9231
           5     100.122
           6     101.027
           7     100.169
           8     100.502
           9     101.214
          10     101.015
          11     98.8842
          12     98.3001
          13     99.3772
          14     101.461
          15     100.575
          16      100.73
          17     100.766
          18     99.7708
          19     99.0072
          20     99.7439
          21     99.4824
          22     99.3772
          23     98.9751
          24     99.0223
          25     99.1227
          26     98.1423
          27     97.5129
          28     97.2319
          29      97.366
          30     96.7067
          31     96.9935
          32      97.209
          33     97.8631
          34     97.8897
          35     99.0982
          36     97.7229
          37     98.2253
          38     100.029
          39     99.6847
          40     100.144
          41     99.2109
          42     99.0753
          43     98.3061
          44     99.2788
          45     99.4972
          46     98.3033
          47     96.9885
          48     97.3483
          49     97.4765
          50     98.3862
          51     99.5009
          52     97.9998
          53     97.5224
          54     96.7596
          55     96.6343
          56     96.9807
          57     95.7162
          58     95.4326
          59     97.9471
          60     97.8505
          61     97.2368
          62     95.8452
          63     95.5693
          64     93.5271
          65     95.3023
          66     95.0493
          67     94.4268
          68     93.4321
          69     94.5857
          70      94.203
          71     93.8363
          72     94.9296
          73     93.9014
          74     93.8209
          75     94.5485
          76     93.4614
          77     94.6741
          78     94.4838
          79     94.0936
          80     94.6366
          81     96.2827
          82     97.6325
          83      96.336
          84     93.2766
          85     94.4203
          86     93.5142
          87     93.0447
          88     92.5021
          89     90.3779
          90     93.0154
          91     92.3509
          92     92.2483
          93     92.7547
          94     94.3996
          95     94.7417
          96     93.6783
          97     94.7479
          98     92.7885
          99     93.1587
           0     93.5301
           1     93.7682
           2     93.9821
           3     93.4244
           4     92.9298
           5     92.0234
           6     91.6933
           7      92.754
           8     91.6454
           9     90.2983
          10     89.6392
          11     90.1881
          12     90.8317
          13      91.295
          14     91.0089
          15     89.4099
          16     90.0037
