#gen      BHL
           0      544.55
           1     537.586
           2     529.891
           3     521.457
           4     512.502
           5     503.225
           6     495.366
           7     486.173
           8      476.37
           9      467.57
          10     462.689
          11     458.382
          12     455.437
          13     448.996
          14     442.499
          15     436.515
          16      433.91
          17     429.593
          18     422.627
          19     413.237
          20     407.072
          21     399.589
          22     392.941
          23     386.399
          24     382.512
          25     378.233
          26     374.785
          27     373.243
          28     365.841
          29     361.272
          30     354.724
          31     349.369
          32      341.84
          33     340.049
          34       334.7
          35     331.247
          36       326.9
          37     325.253
          38     324.446
          39     322.131
          40     319.303
          41     316.373
          42     312.373
          43     309.109
          44      308.07
          45      307.52
          46     304.611
          47     302.042
          48     300.406
          49     299.947
          50       296.1
          51     294.279
          52     288.597
          53     282.573
          54     281.263
          55     277.922
          56     274.677
          57     273.278
          58     272.753
          59     272.364
          60      270.89
          61     270.854
          62     269.643
          63     270.302
          64     267.352
          65     266.434
          66     264.651
          67     263.356
          68     262.343
          69     259.553
          70     257.047
          71     255.831
          72     256.194
          73     254.411
          74     250.832
          75     250.463
          76     245.889
          77     244.379
          78     241.498
          79     240.733
          80     239.725
          81     239.495
          82     237.396
          83      234.89
          84     232.674
          85     233.328
          86     231.048
          87     228.183
          88     227.952
          89     224.154
          90     224.223
          91     221.726
          92     221.913
          93     221.633
          94     221.741
          95     221.996
          96     219.986
          97     218.935
          98     217.831
          99      216.14
           0     213.245
           1     212.257
           2      209.16
           3     204.923
           4     200.906
           5     196.877
           6     196.725
           7     194.393
           8     192.129
           9     190.106
          10     188.329
          11     187.408
          12     186.688
          13     186.409
          14     184.613
          15     183.425
          16     182.637
          17      181.97
          18     181.031
          19     180.955
          20     179.364
          21      177.42
          22     178.758
          23     177.292
          24     174.828
          25     174.883
          26     175.096
          27     174.071
          28     172.455
          29     171.718
          30     170.818
          31     170.447
          32     170.483
          33     168.999
          34      168.47
          35     167.883
          36     166.741
          37     166.595
          38     164.127
          39     163.688
          40     164.834
          41     165.842
          42     164.037
          43     163.386
          44     162.606
          45     163.552
          46     162.563
          47     162.684
          48     162.569
          49     164.268
          50     165.147
          51     164.275
          52     164.078
          53     162.703
          54      163.19
          55     161.411
          56     160.979
          57     161.179
          58     162.641
          59     162.306
          60     163.352
          61     163.121
          62     162.163
          63      162.55
          64     162.537
          65     162.323
          66     160.364
          67     160.773
          68     159.806
          69     159.528
          70     158.634
          71     157.776
          72     157.424
          73     157.071
          74     156.574
          75     156.705
          76     157.637
          77      158.51
          78     157.127
          79     155.403
          80     153.708
          81     153.348
          82     152.584
          83      152.08
          84     150.454
          85     150.631
          86     149.635
          87     149.906
          88     149.699
          89     149.283
          90     149.616
          91     148.974
          92     149.914
          93     149.216
          94     148.354
          95     148.616
          96     148.305
          97     147.527
          98     148.446
          99      147.67
           0      144.52
           1     143.927
           2     144.254
           3     143.451
           4     141.112
           5     139.097
           6     137.691
           7     135.635
           8     133.196
           9     133.486
          10     132.051
          11     131.427
          12     130.121
          13     129.265
          14      129.61
          15      129.57
          16     129.883
          17     128.481
          18      128.74
          19     130.081
          20     130.027
          21     129.426
          22     129.146
          23     129.581
          24     130.351
          25     129.502
          26     129.274
          27     128.513
          28     126.921
          29     126.989
          30     127.337
          31     127.062
          32     125.497
          33     126.248
          34     125.987
          35     124.587
          36      125.08
          37     125.061
          38     125.279
          39     122.974
          40     122.826
          41     123.186
          42     123.383
          43     123.852
          44      122.06
          45     122.346
          46     121.575
          47     121.922
          48     122.522
          49     123.473
          50     122.671
          51     123.772
          52     122.949
          53      121.67
          54     120.999
          55     120.045
          56     120.439
          57     121.729
          58     121.984
          59     121.048
          60     121.338
          61     121.225
          62     119.668
          63     119.282
          64     120.413
          65     119.632
          66     121.479
          67      120.51
          68     120.886
          69     120.498
          70     120.476
          71     120.093
          72      122.01
          73     121.022
          74      120.07
          75     119.989
          76     120.569
          77     120.002
          78     120.296
          79     121.329
          80     120.533
          81     120.093
