           0      499.77
           1      482.08
           2     474.335
           3     471.682
           4     464.923
           5     452.656
           6     449.783
           7     439.183
           8     422.045
           9     410.224
          10     407.978
          11     405.369
          12     405.369
          13     400.136
          14     394.106
          15     393.268
          16     382.585
          17     377.167
          18     372.559
          19     372.006
          20     354.761
          21     354.193
          22     350.614
          23      341.81
          24     334.175
          25     331.793
          26     328.732
          27     327.175
          28      324.05
          29     316.381
          30     316.381
          31     313.614
          32     313.105
          33     310.714
          34     308.667
          35     304.669
          36      304.16
          37     301.757
          38     301.248
          39     301.071
          40     291.849
          41     289.346
          42     289.346
          43     282.305
          44     281.227
          45     277.371
          46     277.371
          47     274.162
          48      273.49
          49     271.658
          50     270.577
          51     269.743
          52      268.67
          53     266.144
          54     266.144
          55     262.403
          56     261.482
          57     261.214
          58     258.903
          59     255.485
          60     254.948
          61     253.034
          62      250.79
          63      250.79
          64     249.692
          65     248.353
          66     245.873
          67     245.873
          68     245.873
          69     244.935
          70     244.935
          71     244.935
          72     239.456
          73     239.456
          74     239.456
          75     237.633
          76     237.592
          77     237.592
          78     234.148
          79     234.148
          80     226.478
          81     226.478
          82      225.56
          83      225.56
          84     221.615
          85     219.946
          86     219.946
          87     218.377
          88     218.377
          89     212.204
          90     212.204
          91     212.204
          92     212.204
          93     210.865
          94     210.803
          95     210.501
          96     210.501
          97       210.5
          98     209.296
          99     208.962
           0     195.345
           1     195.345
           2     194.403
           3     194.403
           4     193.843
           5     192.677
           6     192.677
           7     191.986
           8     191.986
           9     191.466
          10     191.466
          11     191.466
          12      191.16
          13     190.913
          14     190.913
          15     188.858
          16     188.305
          17     188.305
          18     187.425
          19     187.425
          20     187.291
          21     185.915
          22     185.105
          23     184.348
          24     182.554
          25     181.275
          26     180.816
          27     180.816
          28     180.816
          29     180.765
          30      179.95
          31     178.989
          32     178.425
          33     178.277
          34     176.975
          35     176.118
          36     176.118
          37     176.118
          38     175.521
          39     175.477
          40     175.119
          41     175.119
          42     174.187
          43     173.276
          44     171.405
          45     171.405
          46     171.405
          47     170.352
          48     170.352
          49     170.352
          50     170.352
          51     169.292
          52     169.292
          53     168.869
          54     167.507
          55     166.292
          56     164.784
          57     164.784
          58     164.784
          59     162.668
          60     161.642
          61     161.642
          62     161.642
          63     158.827
          64     158.827
          65     158.827
          66     158.002
          67     158.002
          68     158.002
          69     158.002
          70     158.002
          71     157.453
          72     157.453
          73     157.105
          74      156.68
          75     156.256
          76     156.256
          77     156.256
          78     152.607
          79     152.607
          80     152.607
          81     149.723
          82     149.723
          83     149.723
          84     149.723
          85     149.723
          86     149.565
          87     148.657
          88     147.813
          89     146.287
          90     146.287
          91     146.285
          92     145.123
          93     145.052
          94     144.673
          95     143.439
          96     143.439
          97     140.891
          98     140.891
          99     140.713
           0     124.749
           1     124.749
           2     124.749
           3     124.749
           4     124.749
           5     124.749
           6     124.749
           7     124.749
           8     123.609
           9     123.609
          10     123.609
          11     123.447
          12     122.249
          13     122.249
          14     122.019
          15     121.996
          16     121.996
          17     121.766
          18     121.766
          19     121.766
          20     121.766
          21     121.766
          22     121.766
          23     118.172
          24     118.172
          25     117.342
          26     117.342
          27     117.342
          28     117.342
          29     117.342
          30     117.342
          31     117.342
          32     117.342
          33     117.342
          34     117.342
          35     117.342
          36     117.342
          37     117.342
          38     117.342
          39     117.342
          40     117.342
          41     117.342
          42     117.342
          43     115.858
          44     115.858
          45     115.858
          46     115.858
          47     115.099
          48     115.099
          49     115.099
          50     115.099
          51     115.099
          52     114.449
          53     114.449
          54     114.449
          55     114.449
          56     114.449
          57     114.449
          58     114.449
          59     114.449
          60     114.449
          61     113.133
          62     113.133
          63     112.521
          64     112.521
          65     112.521
          66     112.521
          67     112.521
          68     112.521
          69     112.463
          70     112.463
          71      111.34
          72      111.34
          73     111.281
          74     111.281
          75     111.281
          76     111.281
          77     111.281
          78     111.281
          79     111.281
          80     111.281
          81     111.281
          82     111.281
          83     111.281
          84     110.783
          85     110.783
          86     110.783
          87     110.783
          88     110.783
          89     110.783
          90     110.783
          91     110.783
          92     110.574
          93     110.574
          94     110.298
          95     110.298
          96      110.09
          97      110.09
          98      110.09
          99      110.09
           0      110.09
           1      110.09
           2      110.09
           3      110.09
           4     109.735
           5     109.735
           6     109.735
           7     109.735
           8     109.619
           9     109.619
          10     109.474
          11     109.474
          12     109.474
          13     109.474
          14     109.474
          15     109.474
          16     109.474
          17     109.474
          18     109.474
          19     109.279
          20     109.279
          21     109.279
          22     109.279
          23     109.279
          24     109.279
          25     109.279
          26     109.279
          27     109.279
          28     109.279
          29     109.279
          30     108.105
          31     108.105
          32     106.117
          33     106.117
          34     106.117
          35     105.998
          36     105.998
          37     105.998
          38     105.998
          39      105.75
          40      105.75
          41      105.75
          42      105.75
          43     105.485
          44     105.485
          45     105.236
          46     105.236
          47         105
          48         105
          49         105
          50         105
          51     104.681
          52     104.681
          53     104.681
          54     104.681
          55     104.681
          56     102.902
          57     102.902
          58     102.902
          59     102.902
          60     102.902
          61     102.902
          62     102.902
          63     102.902
          64     102.902
          65     102.902
          66     102.902
          67     102.902
          68      102.86
          69      102.86
          70      102.86
          71      102.86
          72     102.438
          73     102.438
          74     102.217
          75     102.217
          76     102.217
          77     102.217
          78     102.217
          79     102.217
          80     102.217
          81     102.217
          82     102.217
          83     102.217
          84     102.217
          85     102.217
          86     102.217
          87     102.217
          88     102.217
          89     102.217
          90     102.217
          91     102.217
          92     102.217
          93     102.217
          94     102.217
          95     102.217
          96     102.217
          97     102.184
          98     102.184
          99     102.184
           0     95.6966
           1     95.6966
           2     95.6966
           3     95.6966
           4     95.6966
           5     95.6966
           6     95.6966
           7     95.6966
           8     95.0317
           9     94.8379
          10     94.8379
          11     94.8379
          12     94.8379
          13     94.7398
          14     94.3721
          15     94.3721
          16     94.3721
          17     94.3149
          18     94.3149
          19     94.3149
          20     94.3149
          21     94.3149
          22     94.3149
          23     94.3149
          24     94.3149
          25     94.3149
          26     94.3149
          27     94.3149
          28     94.3149
          29     94.3149
          30     94.3149
          31     94.3149
          32     94.0742
          33     94.0557
          34     94.0557
          35     93.9585
          36     93.6992
          37     93.6992
          38     93.6992
          39     93.6992
          40     93.6992
          41     93.6992
          42     93.6992
          43     93.6992
          44     93.6992
          45     93.6992
          46     93.6992
          47     93.6992
          48     93.6992
          49     93.6992
          50     93.6992
          51     93.4945
          52     93.4945
          53     93.4945
          54     92.8436
          55     92.8298
          56     92.8298
          57     92.8298
          58     92.8298
          59     92.8298
          60     92.5078
          61     92.5078
          62     92.5078
          63     92.5078
          64     92.5078
          65     92.5078
          66     92.5078
          67     92.5078
          68     92.5078
          69     92.5078
          70     92.5078
          71     91.8041
          72     91.8041
          73     91.8041
          74     91.8041
          75     91.8041
          76     91.8041
          77     91.3092
          78     91.3092
          79     91.3092
          80     90.5026
          81     90.5026
          82     90.5026
          83     89.7509
          84     89.7509
          85     89.7509
          86     89.7509
          87     89.7509
          88     89.7509
          89     89.4219
          90     89.4219
          91     89.4219
          92     89.4219
          93     89.4219
          94     89.4219
          95     89.1783
          96     89.1783
          97     89.1783
          98     89.1783
          99     89.1783
           0     87.0344
           1     87.0344
           2     86.4698
           3     86.4698
           4     86.4698
           5     86.4698
           6     86.4332
           7     86.4332
           8     86.2994
           9      85.509
          10      85.509
          11      85.509
