# T          sigma           mu
    0.666667    0.585449     1.08092
        0.67     0.99702     1.11442
     0.67335     1.06758    0.889436
    0.676717     1.12313      0.6036
      0.6801    0.998232    0.694952
    0.683501     1.19191    0.802778
    0.686918     1.23354    0.472102
    0.690353     1.11592    0.456945
    0.693805    0.971718     0.43136
    0.697274    0.994293    0.606758
     0.70076    0.845162    0.604691
    0.704264    0.720959    0.620716
    0.707785    0.662793    0.762393
    0.711324    0.569422     0.72145
    0.714881    0.557313    0.612414
    0.718455    0.612415    0.434065
    0.722047    0.554984    0.465988
    0.725658    0.648541    0.718313
    0.729286    0.552183     0.76912
    0.732932    0.443305    0.739941
    0.736597    0.376438    0.568247
     0.74028    0.393526    0.497619
    0.743981    0.557003    0.567485
    0.747701    0.512951     0.68211
     0.75144     0.59039    0.699691
    0.755197    0.621352    0.645536
    0.758973    0.819776    0.445922
    0.762768     0.70576    0.410014
    0.766582     0.75166    0.168987
    0.770415    0.894647   0.0203236
    0.774267    0.960604    0.186762
    0.778138    0.944884   0.0810078
    0.782029     1.02186   0.0992917
    0.785939     1.17027    0.228101
    0.789869     1.20926    0.163788
    0.793818    0.997737     0.30033
    0.797787    0.980067    0.530784
    0.801776    0.941733    0.496918
    0.805785    0.850103    0.565042
    0.809814    0.740152    0.512451
    0.813863     0.62344    0.500424
    0.817932    0.592323     0.32295
    0.822022     0.36681    0.539161
    0.826132    0.643583    0.192754
    0.830263    0.654692   0.0136592
    0.834414     0.38639    0.152162
    0.838586    0.252681   0.0756033
    0.842779    0.424051     0.24628
    0.846993    0.717483    0.290633
    0.851228    0.899981    0.464888
    0.855484    0.867355    0.694869
    0.859761     1.06036    0.889708
     0.86406     1.17453    0.747046
     0.86838      1.0584    0.891084
    0.872722      0.8778     0.53004
    0.877086    0.921453    0.405418
    0.881471     1.06614   0.0992898
    0.885879     1.17059   0.0951194
    0.890308    0.833534    0.445109
     0.89476      1.0473    0.338842
    0.899233     1.26223    0.367652
     0.90373     1.19192    0.470826
    0.908248     1.43921    0.128075
    0.912789     1.38697   0.0828542
    0.917353     1.31546  0.00512997
     0.92194     1.38364    0.096217
     0.92655     1.37986    0.317126
    0.931183     1.35865    0.244633
    0.935839     1.39431   0.0556537
    0.940518     1.39747   0.0565726
     0.94522     1.32872    0.218364
    0.949946     1.32923    0.347675
    0.954696     1.18881    0.384827
     0.95947     1.15923    0.210586
    0.964267     1.19365    0.268609
    0.969088      1.5217    0.137586
    0.973934     1.43048    0.144892
    0.978803     1.35124    0.463113
    0.983697     1.14065    0.579752
    0.988616    0.931228    0.626003
    0.993559    0.973969    0.788701
    0.998527    0.904399    0.977027
     1.00352    0.670374    0.939431
     1.00854    0.808481    0.981452
     1.01358    0.923313    0.712892
     1.01865     1.21034    0.852318
     1.02374     1.09669    0.712472
     1.02886     1.17262    0.609179
       1.034      1.3414    0.403939
     1.03917     1.25872    0.374113
     1.04437     1.23362    0.297415
     1.04959     1.31344    0.215983
     1.05484     1.47381    0.157013
     1.06011     1.41408    0.370318
     1.06541     1.64581    0.216007
     1.07074     1.83967    0.208672
      1.0761     1.72717    0.100059
     1.08148      1.6053    0.234974
     1.08688     1.35006   0.0551336
     1.09232      1.0945    0.111569
     1.09778     1.08503   0.0468798
     1.10327      1.0493   0.0321557
     1.10878     1.16166    0.114135
     1.11433     1.00922    0.456694
      1.1199     0.88676    0.456171
      1.1255    0.801598    0.533845
     1.13113    0.950513    0.517139
     1.13678    0.927384    0.486695
     1.14247     1.02011    0.544013
     1.14818     1.01012    0.304409
     1.15392    0.939513    0.312421
     1.15969    0.904638   0.0393231
     1.16549     1.14803   0.0571716
     1.17132     1.11951   0.0444601
     1.17717      1.2887   0.0703906
     1.18306    0.938698    0.341629
     1.18897    0.585439    0.720406
     1.19492    0.591601    0.719306
     1.20089    0.600316    0.726948
      1.2069    0.608915    0.736317
     1.21293    0.570102    0.843468
       1.219    0.645842    0.760206
     1.22509    0.651156     0.72148
     1.23122    0.913221    0.548872
     1.23737     0.89535    0.582795
     1.24356    0.598047    0.708737
     1.24978    0.546435    0.676105
     1.25603    0.566149    0.707448
     1.26231    0.637295    0.769905
     1.26862    0.644403    0.750447
     1.27496    0.666288    0.737168
     1.28134    0.677865     0.61803
     1.28774    0.517601    0.255549
     1.29418    0.840667    0.221767
