#T           <H>          error         SIGMA         MU 
     1.09232   -0.254143    0.035009      1.0945    0.111569
     1.09778   -0.325834   0.0259933     1.08503   0.0468798
     1.10327   -0.330933   0.0218738      1.0493   0.0321557
     1.10878  -0.0964148    0.053169     1.16166    0.114135
     1.11433   -0.358474   0.0256396     1.00922    0.456694
      1.1199    -0.32397   0.0236599     0.88676    0.456171
      1.1255   -0.334978   0.0169027    0.801598    0.533845
     1.13113   -0.356016   0.0315763    0.950513    0.517139
     1.13678   -0.376974   0.0204411    0.927384    0.486695
     1.14247   -0.274581   0.0328448     1.02011    0.544013
     1.14818   -0.328232   0.0204746     1.01012    0.304409
     1.15392    -0.32503   0.0217085    0.939513    0.312421
     1.15969   -0.335645   0.0197259    0.904638   0.0393231
     1.16549   -0.278499   0.0311738     1.14803   0.0571716
     1.17132   -0.259384   0.0375987     1.11951   0.0444601
     1.17717  0.00772552   0.0925055      1.2887   0.0703906
     1.18306   -0.260129    0.024677    0.938698    0.341629
     1.18897   -0.451647   0.0118538    0.585439    0.720406
     1.19492   -0.424204   0.0108286    0.591601    0.719306
     1.20089   -0.423448   0.0102244    0.600316    0.726948
      1.2069   -0.426533  0.00867655    0.608915    0.736317
     1.21293   -0.429674    0.013249    0.570102    0.843468
       1.219   -0.436494  0.00951665    0.645842    0.760206
     1.22509   -0.431164    0.009429    0.651156     0.72148
     1.23122   -0.414761   0.0219955    0.913221    0.548872
     1.23737   -0.272727   0.0277347     0.89535    0.582795
     1.24356   -0.415555   0.0106139    0.598047    0.708737
     1.24978    -0.45183   0.0172263    0.546435    0.676105
     1.25603   -0.395594    0.013038    0.566149    0.707448
     1.26231   -0.460011  0.00770278    0.637295    0.769905
     1.26862    -0.44286  0.00913493    0.644403    0.750447
     1.27496   -0.452363  0.00836794    0.666288    0.737168
     1.28134   -0.363865   0.0139226    0.677865     0.61803
     1.28774     0.42906   0.0348269    0.517601    0.255549
     1.29418   -0.244655   0.0207342    0.840667    0.221767
     1.30065   -0.224172   0.0231344    0.784759    0.231297
     1.30715   -0.101157   0.0234216    0.734614    0.176695
     1.31369    -0.17058   0.0238446    0.785704   0.0547416
     1.32026   -0.323568    0.028005     1.06655    0.184248
     1.32686   -0.276569    0.032889     1.16413    0.217219
