#T           <H>          error         SIGMA         MU 
     7.60233   -0.469735   0.0094483    0.598212    0.824864
     7.64034   -0.476741   0.0112199    0.583779    0.846068
     7.67855   -0.410246   0.0164056    0.757414     0.68109
     7.71694    -0.38787   0.0173172    0.862129    0.457574
     7.75552   -0.412883   0.0212159    0.822401    0.523747
      7.7943   -0.460788  0.00813192    0.627282    0.829103
     7.83327   -0.471934  0.00907427    0.621744    0.881151
     7.87244   -0.449601   0.0137902    0.624196    0.806616
      7.9118    -0.44673  0.00834251    0.644868    0.753871
     7.95136   -0.465021   0.0136669    0.585075    0.846968
     7.99112   -0.447715  0.00920177    0.675781    0.717649
     8.03107   -0.466825  0.00879171    0.665481    0.722269
     8.07123   -0.471828  0.00914742    0.630676    0.836399
     8.11158   -0.469366  0.00829525    0.676411    0.763777
     8.15214    -0.37157   0.0187021    0.957048    0.365157
      8.1929   -0.343956   0.0241553    0.994905   0.0980956
     8.23387   -0.467082   0.0100549    0.638126    0.844341
     8.27504   -0.461102  0.00945969    0.674926    0.853584
     8.31641     -0.4098   0.0189709    0.699891    0.746031
     8.35799   -0.442581   0.0146191    0.578015    0.662591
     8.39978   -0.459603   0.0110263    0.583252    0.801372
     8.44178   -0.418125   0.0132866    0.685389    0.628392
     8.48399     -0.4542  0.00914631    0.675722    0.778164
     8.52641   -0.473197   0.0108477    0.619629    0.779871
     8.56904   -0.474024   0.0101431    0.666525    0.775147
     8.61189   -0.460754  0.00919976    0.664964    0.740606
     8.65495   -0.459334   0.0148887    0.679352    0.857431
     8.69822   -0.481147   0.0136134    0.575081    0.862311
     8.74171   -0.467608  0.00908302    0.601276    0.827105
     8.78542    -0.37792   0.0155552    0.788105    0.655643
     8.82935   -0.370156   0.0179438    0.774565     0.68878
      8.8735   -0.479407  0.00649687    0.649761    0.809203
     8.91786   -0.468868  0.00936514    0.655777    0.874233
     8.96245   -0.365633   0.0230866    0.966476    0.404748
     9.00727   -0.370826   0.0216887     1.04309    0.351636
      9.0523   -0.452421  0.00982149     0.59163    0.797086
     9.09756   -0.470497   0.0117398    0.637689    0.827081
     9.14305   -0.471013  0.00948452    0.614534    0.753179
     9.18877   -0.478318  0.00775813    0.617696    0.784188
     9.23471   -0.462346   0.0140455    0.569324    0.847651
     9.28088   -0.442053  0.00895835    0.617774    0.799045
     9.32729   -0.366822   0.0208212    0.796507    0.710828
     9.37392   -0.456261   0.0102389    0.677974    0.719282
     9.42079   -0.446217  0.00952948    0.605318    0.775187
      9.4679    -0.49524    0.011961    0.579347    0.811647
     9.51524   -0.479626   0.0120838    0.679864      0.8523
     9.56281   -0.463496    0.008473    0.618172    0.824748
     9.61063    -0.45928   0.0104799    0.644888    0.711522
     9.65868   -0.483597   0.0145718    0.560828    0.843434
     9.70697   -0.463083   0.0108375    0.615208     0.77718
     9.75551   -0.356352   0.0220573    0.868741    0.412677
     9.80429   -0.346465   0.0181784    0.802709    0.483898
     9.85331   -0.467607   0.0103521    0.641249    0.734837
     9.90258   -0.478953  0.00813107    0.617306    0.795515
     9.95209   -0.458955   0.0155194     0.67301    0.811509
     10.0018    -0.46126   0.0121599    0.596193    0.894739
     10.0519   -0.487222   0.0085944    0.685443    0.790216
     10.1021   -0.385584   0.0267657     1.01124    0.299162
     10.1526   -0.382991   0.0147177    0.710146    0.661858
     10.2034   -0.459986   0.0120417    0.662254    0.774053
     10.2544   -0.444033   0.0184174    0.725318    0.804759
     10.3057   -0.398572   0.0187178    0.893713    0.381082
     10.3572   -0.417344   0.0144803    0.703283    0.650149
      10.409   -0.445885   0.0134955    0.702861    0.714906
      10.461   -0.472932  0.00762906    0.639393    0.845507
     10.5133    -0.47751  0.00858002    0.671355    0.818627
     10.5659    -0.48063   0.0104248    0.696042    0.819234
     10.6187   -0.483249   0.0135593    0.568184    0.806878
     10.6718   -0.474828  0.00727452      0.6404    0.797257
     10.7252   -0.424676   0.0122286     0.71999    0.687385
     10.7788    -0.47094   0.0138235    0.568264     0.82008
     10.8327   -0.458061   0.0103101    0.592786    0.762727
     10.8869   -0.370456    0.020427     1.06965    0.154032
     10.9413   -0.355156   0.0276324     1.07517   0.0324725
      10.996    -0.38591   0.0151121     0.66414    0.591234
      11.051   -0.450502   0.0190422    0.922707    0.602915
     11.1063   -0.484398   0.0113984    0.581862    0.824219
     11.1618   -0.484304   0.0143768    0.559835     0.79217
     11.2176   -0.484277  0.00861117    0.638284    0.809849
     11.2737   -0.456532  0.00911059    0.602051    0.754413
       11.33   -0.453157   0.0128913    0.568293    0.782509
     11.3867   -0.491413  0.00679721    0.655211    0.778167
     11.4436   -0.477804  0.00880647    0.615643    0.813124
     11.5009   -0.467726  0.00838954    0.647708    0.780791
     11.5584   -0.368114   0.0312611     1.11732     0.36065
     11.6161   -0.453967   0.0140806     0.72099    0.788033
     11.6742   -0.476631   0.0114533    0.689988    0.798118
     11.7326    -0.50839   0.0131879    0.569993    0.766746
     11.7913   -0.482353  0.00788866     0.64452    0.806194
     11.8502   -0.472523   0.0114001    0.605306    0.819891
     11.9095   -0.486327  0.00782826    0.614105    0.784051
      11.969    -0.48358  0.00694063    0.625023    0.797325
     12.0289   -0.393911   0.0236647    0.946124    0.546071
      12.089   -0.385331   0.0221949     1.03786    0.340443
     12.1495   -0.468229  0.00962458    0.636452    0.822675
     12.2102   -0.371367   0.0265898     1.01401    0.556333
     12.2713   -0.383596   0.0300417     1.13559   0.0701965
     12.3326   -0.387348   0.0202721    0.915483    0.266573
     12.3943   -0.480212   0.0102415    0.590227    0.782974
     12.4562   -0.456167   0.0137603    0.695377    0.802209
     12.5185   -0.478053   0.0134459     0.59605    0.753857
     12.5811   -0.465376   0.0105975    0.584367     0.75856
      12.644   -0.459051  0.00937063    0.639323    0.729277
     12.7072   -0.375788   0.0203555     1.00714    0.287722
     12.7708   -0.378594   0.0189016      1.0092    0.349956
     12.8346   -0.480221  0.00859898    0.609439    0.838593
     12.8988   -0.469666  0.00708808    0.624037    0.806951
     12.9633   -0.487595   0.0124659    0.582793     0.82763
     13.0281   -0.506352    0.011915    0.577475    0.788214
     13.0933   -0.470482  0.00780572    0.622882    0.818736
     13.1587   -0.456835  0.00956305    0.666823    0.829364
     13.2245   -0.470235  0.00884192    0.608629    0.807452
     13.2906   -0.478075    0.015607    0.556247    0.811906
     13.3571   -0.481283   0.0101126    0.600599    0.809859
     13.4239    -0.40622    0.018214    0.782944    0.757212
      13.491   -0.419358    0.018421     0.98802    0.459319
     13.5584   -0.461257  0.00879188     0.62869    0.859277
     13.6262    -0.48324  0.00691934    0.647944    0.798884
     13.6944   -0.476448   0.0114969    0.665646    0.889247
     13.7628   -0.479845  0.00713848    0.663837    0.828839
     13.8317   -0.411095   0.0250333     0.71215    0.794647
     13.9008   -0.448733   0.0110367      0.6568    0.769668
     13.9703   -0.475487  0.00985822    0.693746    0.842936
     14.0402   -0.472993   0.0107865    0.642499    0.790318
     14.1104   -0.486319  0.00745046    0.644814    0.797119
     14.1809    -0.40926   0.0236536     1.02742   0.0597667
     14.2518   -0.474916  0.00930076    0.633622    0.821789
     14.3231   -0.482559   0.0136604    0.569091    0.816275
     14.3947   -0.468283  0.00883625    0.620819    0.878574
     14.4667   -0.476612  0.00849928    0.607855    0.803847
      14.539   -0.490769   0.0129578    0.568717    0.771649
     14.6117   -0.470914  0.00859525    0.607408    0.816297
     14.6848   -0.456244  0.00822701    0.614239    0.755267
     14.7582   -0.398071   0.0114374    0.666078    0.663317
      14.832   -0.426529   0.0188295    0.834575    0.675837
     14.9061   -0.475011  0.00689413       0.638    0.793196
     14.9807   -0.488591   0.0076976    0.676374    0.851852
     15.0556   -0.474143  0.00974965    0.596855    0.843959
     15.1309   -0.467021   0.0101424    0.648202    0.833933
     15.2065   -0.390795   0.0160249    0.759522    0.590972
     15.2825   -0.470069   0.0115035    0.580244    0.811707
      15.359   -0.478928   0.0111047    0.688723    0.827547
     15.4357   -0.469737  0.00871147    0.617592    0.756901
     15.5129   -0.469856  0.00790537    0.616222    0.791607
     15.5905   -0.467941   0.0074553    0.638424    0.780227
     15.6684   -0.483945   0.0149386    0.560089    0.711096
     15.7468   -0.475638  0.00899799    0.605029    0.834419
     15.8255   -0.478717    0.013209    0.574379    0.844829
     15.9046   -0.485547  0.00718181     0.64468    0.816106
     15.9842    -0.47534  0.00767561    0.639898    0.870104
     16.0641   -0.485821  0.00915168    0.602986    0.806984
     16.1444   -0.487993  0.00982194    0.593368    0.784358
     16.2251   -0.466067  0.00946877     0.63856    0.770502
     16.3063   -0.465818  0.00754117    0.632461     0.79953
     16.3878   -0.479088   0.0117421    0.579177    0.802282
     16.4697    -0.49113  0.00907741    0.608458    0.813729
     16.5521   -0.481337   0.0116161    0.673166    0.829962
     16.6348   -0.464652   0.0164174    0.548548     0.74665
      16.718    -0.48411   0.0102462    0.590271    0.802142
     16.8016   -0.471958  0.00943965    0.632872    0.888289
     16.8856   -0.473811  0.00777566    0.629853    0.762503
       16.97   -0.479563  0.00830221    0.672765    0.794007
     17.0549   -0.478367   0.0131992    0.566783    0.786606
     17.1402   -0.478559  0.00886315    0.679637    0.791015
     17.2259   -0.482228   0.0126677    0.599908    0.823762
      17.312   -0.486383   0.0112225    0.601354    0.817436
     17.3986   -0.484733   0.0128156    0.578367    0.854671
     17.4855   -0.486627   0.0148189    0.568124    0.856485
      17.573   -0.483098  0.00837283    0.610339    0.776312
     17.6608   -0.469864  0.00856037    0.663423    0.836786
     17.7491   -0.485064   0.0075305    0.626502    0.782005
     17.8379   -0.485188   0.0114728    0.606697    0.877227
     17.9271   -0.433563   0.0126733    0.653329    0.842332
     18.0167   -0.472005  0.00659021    0.651732    0.792065
     18.1068   -0.496496   0.0121205    0.577357    0.799066
     18.1973   -0.465315   0.0113085    0.711206    0.837055
     18.2883   -0.486175  0.00966899    0.700799    0.831026
     18.3798   -0.470749   0.0116945     0.57885    0.804561
     18.4717    -0.48047  0.00888872    0.604531    0.784222
      18.564   -0.405997   0.0177055    0.963387    0.322982
     18.6568   -0.483434  0.00717202    0.629931    0.791164
     18.7501   -0.481924  0.00674736    0.673448    0.815057
     18.8439   -0.463721  0.00864399    0.608129    0.828428
     18.9381   -0.479158   0.0106457    0.695977    0.792701
     19.0328   -0.481121  0.00949508     0.63758    0.857189
     19.1279   -0.483532   0.0105751    0.635376    0.769678
     19.2236   -0.483071   0.0100491    0.590495    0.809138
     19.3197   -0.473757   0.0106736    0.597468     0.85433
     19.4163   -0.477815   0.0072938     0.65836    0.829863
     19.5134   -0.470594  0.00849193    0.618037    0.772557
     19.6109   -0.485229  0.00839143    0.628295    0.823611
      19.709   -0.468229   0.0102395    0.602497    0.758553
     19.8075   -0.492513   0.0074953    0.626351    0.784738
     19.9066    -0.46476   0.0102735    0.711555    0.780786
     20.0061   -0.483533   0.0133963    0.573932    0.850357
     20.1062   -0.475538  0.00734626    0.659973    0.818842
     20.2067    -0.50015  0.00706796    0.646295    0.828426
     20.3077    -0.39989   0.0193133    0.941621    0.156965
     20.4093   -0.416837   0.0286673     1.02315    0.321079
     20.5113   -0.496027   0.0181326    0.542953    0.838671
     20.6139   -0.487998  0.00972778    0.593153    0.806426
     20.7169    -0.47499  0.00768251    0.654289    0.773112
     20.8205   -0.401569   0.0236807     1.01888    0.280956
     20.9246   -0.469186   0.0103982    0.586205    0.776848
     21.0292   -0.481011  0.00931051    0.648847     0.81907
     21.1344   -0.482456  0.00925253    0.602102    0.777672
     21.2401   -0.484621   0.0132528     0.56813    0.802822
     21.3463    -0.48935  0.00881291    0.616136     0.85468
      21.453   -0.483703  0.00931214    0.612387    0.789583
     21.5602   -0.486184  0.00873652    0.611089    0.774356
     21.6681    -0.49565   0.0133335    0.566979    0.807589
     21.7764   -0.473321  0.00910019     0.60307    0.809533
     21.8853   -0.484939   0.0082177    0.627069    0.835968
     21.9947   -0.482445   0.0141192    0.564745    0.824848
     22.1047   -0.489071    0.018385    0.540308    0.801231
     22.2152   -0.474467   0.0127769    0.713792    0.745194
     22.3263   -0.488409  0.00673965    0.631189    0.835217
     22.4379   -0.481201  0.00874598    0.605602    0.828951
     22.5501   -0.486395  0.00752592    0.620879    0.801845
     22.6628   -0.487916  0.00973433    0.600259    0.768187
     22.7762   -0.488854  0.00887026     0.61063    0.833546
       22.89   -0.475879  0.00740847    0.640492    0.764477
     23.0045   -0.486371   0.0109908    0.587744    0.758183
     23.1195    -0.47684   0.0083671    0.637785    0.853703
     23.2351   -0.495208  0.00951421    0.665574    0.792642
     23.3513   -0.477494  0.00700784    0.632971    0.816232
      23.468   -0.484327   0.0115886    0.588564     0.82175
     23.5854   -0.493766   0.0112244    0.582757    0.784139
     23.7033   -0.487072  0.00936345    0.692114    0.793114
     23.8218   -0.483999   0.0093649    0.624733    0.856764
     23.9409   -0.476483   0.0116588     0.64171    0.790184
     24.0606   -0.479312  0.00748064    0.651587    0.787941
     24.1809   -0.470506  0.00952383    0.633874    0.830266
     24.3018   -0.482459   0.0107984    0.588492    0.816524
     24.4234   -0.465037  0.00769002    0.653054    0.749936
     24.5455   -0.488732  0.00901736    0.605968    0.766803
     24.6682    -0.48943   0.0118759    0.581465    0.808077
     24.7915   -0.482207   0.0112159    0.581995    0.798545
     24.9155   -0.475714   0.0095636     0.63639     0.82554
     25.0401   -0.479552   0.0114197    0.581707    0.773277
     25.1653   -0.483883  0.00822734    0.610376    0.810285
     25.2911   -0.479375  0.00969118    0.599053    0.755236
     25.4176   -0.481168  0.00922768    0.619507    0.800864
     25.5446   -0.498624  0.00919492    0.618942    0.849755
     25.6724   -0.494243    0.013188    0.569205    0.770672
     25.8007   -0.491629  0.00875071    0.609197    0.764103
     25.9297   -0.492969   0.0106962    0.700723    0.783857
     26.0594   -0.471345   0.0106607    0.592615    0.814273
     26.1897   -0.476721   0.0140471    0.568277    0.811473
     26.3206   -0.487643  0.00862139    0.655643    0.851147
     26.4522   -0.486573  0.00845859    0.656929    0.825108
     26.5845   -0.473961  0.00964545    0.636769    0.842493
     26.7174   -0.494858   0.0153043    0.557882     0.74999
      26.851   -0.474028   0.0112345    0.582604    0.815531
     26.9853   -0.481713  0.00840734     0.61258    0.787575
     27.1202    -0.48438   0.0100801    0.591905    0.813133
     27.2558   -0.491869   0.0066392    0.658024    0.827914
     27.3921   -0.480358  0.00873906    0.607841    0.831289
      27.529   -0.481208  0.00725507    0.635833    0.832838
     27.6667   -0.497179   0.0119426    0.576978    0.807837
      27.805   -0.493543  0.00855788    0.608688    0.813506
      27.944   -0.484913  0.00900214    0.667492    0.772929
     28.0837    -0.48021   0.0142549    0.561051    0.795564
     28.2242    -0.48661  0.00926599    0.665546    0.865801
     28.3653   -0.483684   0.0119091    0.582119    0.730009
     28.5071   -0.490301   0.0105639    0.690516    0.838751
     28.6496   -0.495232   0.0140684    0.569824    0.837125
     28.7929   -0.483248  0.00821847    0.613319    0.804898
     28.9369   -0.484186  0.00879456    0.653226    0.738031
     29.0815   -0.506021   0.0127559    0.572215    0.800847
      29.227   -0.491536  0.00909106    0.604947    0.801794
     29.3731   -0.487638   0.0105118    0.601955    0.845966
       29.52   -0.475286   0.0107766    0.586492     0.80894
     29.6676   -0.489501   0.0077986    0.639662    0.821464
     29.8159   -0.479788   0.0141355    0.565147    0.749999
      29.965   -0.491236   0.0097207    0.614518    0.753763
     30.1148   -0.482424  0.00904174    0.612088    0.745843
     30.2654   -0.485463  0.00924797    0.602245    0.842475
     30.4167   -0.482825  0.00907463    0.643234    0.834742
     30.5688    -0.49186   0.0131735    0.608393    0.857971
     30.7216   -0.487773  0.00753769    0.635955     0.81609
     30.8752   -0.485986   0.0108398    0.586263    0.810307
     31.0296   -0.493249  0.00656129    0.649972    0.815321
     31.1848   -0.495183  0.00805864    0.679257    0.839749
     31.3407   -0.487192  0.00882002    0.710317    0.795355
     31.4974    -0.49083   0.0159097    0.551886    0.786498
     31.6549   -0.488143  0.00875314    0.680448    0.767823
     31.8131   -0.485179  0.00798941    0.615838    0.823769
     31.9722   -0.481739   0.0129191    0.572338    0.799979
     32.1321   -0.485523  0.00738768    0.650541    0.795144
     32.2927   -0.492885   0.0071948    0.667306     0.84481
     32.4542    -0.47187  0.00825847    0.624996    0.805777
     32.6165   -0.499633   0.0128925    0.574257    0.816506
     32.7795   -0.494462   0.0152019    0.557973    0.816467
     32.9434    -0.47894  0.00980806    0.708512     0.78602
     33.1082   -0.476906  0.00950433    0.659802    0.794279
     33.2737   -0.490309   0.0067948    0.664477    0.801666
     33.4401   -0.483145  0.00975625    0.605296    0.743582
     33.6073   -0.490814  0.00788499    0.619449    0.823394
     33.7753   -0.488574    0.012658    0.578121    0.835234
     33.9442   -0.494986   0.0181515    0.538776    0.746625
     34.1139   -0.499248  0.00873359    0.672984     0.80713
     34.2845   -0.497251  0.00804036    0.612009    0.786255
     34.4559   -0.483608  0.00615574    0.653701    0.783863
     34.6282   -0.514001   0.0109482     0.58571    0.822302
     34.8013   -0.486743  0.00763839    0.656683    0.777169
     34.9753   -0.502883   0.0158326    0.562059    0.874482
     35.1502   -0.493019  0.00888578    0.605853    0.797473
      35.326   -0.477162   0.0109885     0.64467    0.829127
     35.5026   -0.498631  0.00776587    0.634325    0.832535
     35.6801   -0.491187  0.00738757     0.62259    0.791274
     35.8585   -0.498011   0.0203431    0.529299    0.760517
     36.0378   -0.481604   0.0105564    0.588808    0.794784
      36.218   -0.477418  0.00824505    0.643831    0.783782
     36.3991   -0.489697  0.00948682    0.637663    0.787127
     36.5811   -0.482581   0.0108978    0.580448    0.791563
      36.764    -0.48409   0.0120266    0.577064     0.79397
     36.9478   -0.478657   0.0123429     0.61567    0.841272
     37.1325   -0.490746  0.00721136    0.623985    0.834195
     37.3182   -0.489886  0.00828297    0.624548    0.821761
     37.5048   -0.482517  0.00936836    0.604652    0.828599
     37.6923   -0.491742  0.00983961    0.610792    0.800522
     37.8808   -0.498952    0.018128    0.542488     0.77689
     38.0702    -0.48385  0.00787695    0.620534    0.813578
     38.2605   -0.501361   0.0103138    0.591338    0.805271
     38.4518   -0.484211    0.011218    0.607944    0.866694
     38.6441   -0.484462  0.00924454    0.608295    0.831265
     38.8373    -0.49042   0.0163602    0.556367    0.842642
     39.0315   -0.485616  0.00771028    0.643933    0.796606
     39.2266   -0.478257   0.0106633    0.585567    0.764263
     39.4228   -0.487673  0.00761165    0.660814    0.804417
     39.6199   -0.486727  0.00756509    0.666881    0.779251
      39.818   -0.503404   0.0154405    0.560581    0.829899
     40.0171   -0.483694   0.0133033     0.56761    0.825577
     40.2172   -0.504525   0.0103106    0.594485    0.836751
     40.4183    -0.49088  0.00723097    0.628326     0.79281
     40.6203   -0.491998  0.00883037    0.647084    0.845368
     40.8234   -0.488003  0.00754968    0.629505    0.828156
     41.0276   -0.492716  0.00837825    0.618784    0.825518
     41.2327   -0.473495   0.0104241    0.595756    0.824506
     41.4389   -0.483007   0.0136564    0.565933    0.816774
     41.6461   -0.484959  0.00833463    0.626631    0.848427
     41.8543    -0.48766    0.010115    0.595273    0.808702
     42.0636    -0.50524   0.0103863    0.592361    0.771019
     42.2739    -0.48718   0.0083494    0.624289    0.755889
     42.4853   -0.492631   0.0121631    0.574434    0.800986
     42.6977    -0.49222   0.0147779    0.560203    0.791674
     42.9112    -0.48972   0.0128978    0.568603    0.783627
     43.1257    -0.48137   0.0100389    0.592291    0.791006
     43.3413   -0.488384  0.00910421    0.614288    0.832326
     43.5581   -0.486132  0.00758904    0.629983    0.796319
     43.7758   -0.487232  0.00831203    0.669437     0.80833
     43.9947   -0.490447   0.0130237    0.569598    0.775183
     44.2147   -0.500589  0.00596862    0.656656    0.827521
     44.4358   -0.479374  0.00835506    0.634156    0.860629
      44.658   -0.484072  0.00828119    0.636753    0.791607
     44.8812   -0.492581  0.00806288    0.611489    0.799385
     45.1056   -0.481883   0.0108775    0.600622    0.790773
     45.3312   -0.488065  0.00756416    0.622617    0.837403
     45.5578   -0.486855  0.00923972    0.608053    0.855952
     45.7856   -0.486943  0.00954141     0.60753    0.849685
     46.0145   -0.493915  0.00675703    0.639993    0.828723
     46.2446   -0.477922  0.00911148    0.599991    0.805997
     46.4758   -0.499621   0.0112797    0.595911    0.853901
     46.7082    -0.49492  0.00671182    0.637683    0.793376
     46.9418   -0.480093  0.00856783    0.642822    0.838178
     47.1765   -0.494168   0.0140947    0.563309    0.822267
     47.4124    -0.49337  0.00918123    0.603219    0.819593
     47.6494   -0.497264  0.00907791    0.608611    0.829861
     47.8877   -0.491344  0.00962396     0.60224    0.832022
     48.1271    -0.49359  0.00924505    0.599536    0.810374
     48.3677   -0.483767  0.00751981    0.656277    0.792092
     48.6096   -0.493459   0.0114945    0.693023    0.776806
     48.8526   -0.480941   0.0132964    0.576724    0.861031
     49.0969   -0.489443  0.00902555    0.699622    0.781634
     49.3424   -0.488113  0.00695082    0.635993     0.80171
     49.5891   -0.497063  0.00816919    0.621713    0.771768
      49.837   -0.490832   0.0140732    0.560128    0.793603
     50.0862   -0.503205   0.0106367     0.58452    0.808504
     50.3366    -0.48971  0.00761366    0.615992    0.794112
     50.5883   -0.482905    0.006936    0.632563    0.833547
     50.8413   -0.482556  0.00943968    0.672307    0.814598
     51.0955   -0.484783  0.00821848    0.665014    0.836327
      51.351   -0.495107  0.00821501    0.641813    0.864609
     51.6077   -0.489869   0.0159441    0.552547    0.763321
     51.8657   -0.496356  0.00822781    0.613982    0.800505
     52.1251   -0.504443   0.0124806    0.573235    0.766865
     52.3857   -0.492397  0.00779907    0.663498    0.811476
     52.6476   -0.485759   0.0125605    0.592358    0.837247
     52.9109   -0.494989  0.00941746    0.728375    0.795961
     53.1754   -0.488483  0.00921483    0.648419    0.829796
     53.4413   -0.500714   0.0101136    0.604783    0.868812
     53.7085   -0.488765   0.0120983    0.579467    0.828947
     53.9771   -0.492036  0.00760889    0.624742    0.843872
     54.2469   -0.484592  0.00996327    0.589674    0.781935
     54.5182   -0.482763  0.00904311    0.639262    0.845368
     54.7908   -0.505852   0.0115696    0.582282    0.812035
     55.0647   -0.491922    0.010094    0.609135    0.877593
       55.34   -0.487215   0.0146208    0.774025    0.687953
     55.6167   -0.495327    0.014326    0.565262    0.782194
     55.8948   -0.487171  0.00788716    0.623211    0.824765
     56.1743    -0.50814   0.0151369    0.560462    0.822166
     56.4552   -0.493512  0.00991019    0.679611    0.844176
     56.7374   -0.490678  0.00958404    0.595677    0.786023
     57.0211   -0.485431  0.00957632    0.710778    0.825442
     57.3062   -0.492806  0.00811927    0.624072    0.811729
     57.5928   -0.499783   0.0155302    0.556991     0.74297
     57.8807   -0.505281   0.0123455    0.574517    0.788932
     58.1701   -0.489677  0.00657465     0.64115    0.808472
      58.461   -0.500192   0.0095522    0.599466    0.767586
     58.7533   -0.502424   0.0122655    0.577599    0.839833
     59.0471   -0.515013   0.0113997    0.583569    0.803465
     59.3423     -0.4923  0.00747678     0.64593    0.797652
      59.639   -0.497806  0.00825523    0.679655    0.809414
     59.9372    -0.48915   0.0168227    0.546706    0.750071
     60.2369   -0.495585  0.00960177    0.600507    0.836222
     60.5381   -0.480442    0.013288    0.631461    0.816702
     60.8408   -0.496864   0.0107946    0.588223    0.800667
      61.145   -0.489137   0.0116051    0.581639    0.797732
     61.4507   -0.492454   0.0111289    0.595613    0.832874
     61.7579   -0.491346   0.0113299    0.583488     0.80346
     62.0667   -0.485112  0.00864857     0.62697    0.846783
     62.3771   -0.484747   0.0119526    0.603864    0.821459
      62.689   -0.485437  0.00918185    0.606985    0.806343
     63.0024    -0.48692  0.00746256    0.622142    0.801592
     63.3174   -0.483871  0.00978161    0.619656    0.779353
      63.634    -0.49718   0.0108538    0.585438    0.823973
     63.9522   -0.500229  0.00959315    0.603593    0.746988
     64.2719   -0.483152  0.00930942    0.610509    0.843466
     64.5933   -0.521046   0.0188827    0.537838    0.750491
     64.9163    -0.48736   0.0110743    0.584385    0.794061
     65.2408   -0.494999   0.0107182    0.585845    0.777537
      65.567   -0.487803  0.00840201    0.609605    0.821497
     65.8949   -0.484503  0.00716539    0.628674    0.796137
     66.2243   -0.499893   0.0134838    0.722888    0.827582
     66.5555   -0.497953   0.0102764    0.607676     0.86337
     66.8882    -0.49333   0.0109548    0.592944    0.847979
     67.2227    -0.50062   0.0102345    0.589944    0.792675
     67.5588   -0.491807   0.0136553    0.564468     0.82081
     67.8966   -0.489861   0.0121174    0.577691    0.821288
     68.2361   -0.489626  0.00734992    0.622299    0.806884
     68.5773   -0.492941  0.00862109    0.610868    0.816283
     68.9201   -0.494751  0.00958344    0.596559    0.825975
     69.2647   -0.519486   0.0128903    0.572537    0.779774
     69.6111   -0.494303   0.0110706    0.584526    0.821447
     69.9591   -0.481888   0.0109789    0.583382    0.762585
     70.3089   -0.504025    0.012648    0.573294    0.821487
     70.6605   -0.487234   0.0123416    0.578118    0.829978
     71.0138   -0.524266   0.0114829    0.588237    0.863103
     71.3688   -0.489803   0.0113001    0.583509    0.820098
     71.7257    -0.49029  0.00952501    0.595771    0.809479
     72.0843   -0.490486  0.00652384     0.63602    0.809638
     72.4447   -0.493566  0.00723611    0.659658    0.820161
      72.807   -0.493421    0.017302    0.547222    0.812866
      73.171   -0.484709  0.00898831    0.657995    0.847899
     73.5368   -0.490532  0.00723597    0.633437     0.81467
     73.9045   -0.491869   0.0101807    0.588754    0.784971
      74.274   -0.488138  0.00867888    0.605633    0.786711
     74.6454   -0.508123  0.00891314     0.61271    0.793951
     75.0186    -0.49723  0.00903004    0.607438    0.785354
     75.3937    -0.50029   0.0155236     0.55556    0.792012
     75.7707   -0.501528   0.0151888    0.560927    0.833962
     76.1496   -0.517402   0.0180878    0.545224    0.732263
     76.5303   -0.492822  0.00698973    0.628352    0.818252
      76.913    -0.49217   0.0122566    0.575609    0.769701
     77.2975   -0.504638   0.0131928    0.570368    0.779871
      77.684    -0.49389   0.0104957    0.589768    0.801948
     78.0724   -0.497646  0.00737463    0.675936     0.78578
     78.4628   -0.489506  0.00958964    0.604946    0.784298
     78.8551   -0.497643  0.00883076    0.608361    0.809562
     79.2494   -0.493746  0.00820655    0.614714    0.792446
     79.6456   -0.493215   0.0105691    0.658318    0.882682
     80.0439   -0.491926   0.0136537    0.572283    0.829528
     80.4441   -0.493728  0.00773455    0.680847    0.816438
     80.8463   -0.498032  0.00669441    0.636753    0.814155
     81.2505   -0.496618  0.00901055    0.620259    0.868127
     81.6568    -0.49298  0.00992552    0.597861    0.825962
     82.0651   -0.491638  0.00835211    0.636399    0.823351
     82.4754   -0.490899  0.00816837    0.610988    0.814344
     82.8878   -0.485672  0.00741175    0.651943    0.766031
     83.3022   -0.497158   0.0151086    0.559061    0.798628
     83.7187   -0.495482  0.00851816    0.679772    0.859421
     84.1373   -0.488101  0.00755549    0.646795    0.832612
      84.558   -0.493902   0.0107488    0.592273    0.854198
     84.9808   -0.486319   0.0109128    0.594818    0.833936
     85.4057   -0.493985  0.00794618    0.647605    0.763022
     85.8327   -0.489515  0.00842692    0.611863    0.784487
     86.2619   -0.503405   0.0141426    0.562795    0.809475
     86.6932    -0.50381   0.0103266    0.589193    0.807714
     87.1267   -0.488145  0.00983938     0.59299    0.766821
     87.5623   -0.494394  0.00726273    0.646766    0.837086
     88.0001   -0.489511   0.0149313    0.560208    0.825495
     88.4401   -0.490203   0.0121546     0.58086    0.808243
     88.8823   -0.505893  0.00881612    0.606198    0.776277
     89.3267   -0.508046   0.0120164    0.578664    0.776435
     89.7734   -0.491859   0.0081756    0.660524    0.824579
     90.2222   -0.495557   0.0106604    0.587644    0.790883
     90.6733   -0.506334    0.014159    0.562465    0.786218
     91.1267   -0.498168   0.0134783     0.56872    0.784345
     91.5823   -0.506575  0.00905864     0.60542    0.811819
     92.0402   -0.491446  0.00851837     0.66101    0.780755
