#   N_BLOCK:  <H>Block    block ave     error:
         152   -0.415182   -0.446159  0.00145741
         153   -0.452057   -0.446198  0.00144839
         154   -0.453599   -0.446246  0.00143978
         155   -0.456337   -0.446311  0.00143197
         156   -0.425401   -0.446177  0.00142905
         157   -0.422057   -0.446023  0.00142818
         158   -0.413218   -0.445815  0.00143415
         159   -0.421396   -0.445662  0.00143333
         160   -0.428099   -0.445552  0.00142857
         161   -0.441882   -0.445529  0.00141988
         162   -0.447033   -0.445539  0.00141114
         163    -0.47408   -0.445714  0.00141331
         164   -0.426775   -0.445598   0.0014094
         165   -0.435138   -0.445535  0.00140228
         166   -0.428888   -0.445435  0.00139742
         167   -0.410263   -0.445224  0.00140483
         168   -0.465841   -0.445347  0.00140182
         169   -0.454382     -0.4454  0.00139454
         170   -0.463024   -0.445504  0.00139019
         171    -0.41878   -0.445347  0.00139081
         172   -0.432285   -0.445272   0.0013848
         173   -0.423826   -0.445148  0.00138233
         174   -0.449836   -0.445175  0.00137465
         175   -0.453864   -0.445224  0.00136769
         176   -0.479912   -0.445421  0.00137405
         177   -0.440055   -0.445391  0.00136662
         178   -0.419676   -0.445246  0.00136656
         179   -0.430857   -0.445166  0.00136129
         180   -0.428343   -0.445073  0.00135693
         181   -0.423271   -0.444952  0.00135477
         182   -0.456791   -0.445017  0.00134888
         183   -0.436636   -0.444971  0.00134229
         184   -0.459244   -0.445049  0.00133723
         185   -0.463296   -0.445148  0.00133364
         186   -0.454485   -0.445198  0.00132741
         187   -0.446638   -0.445206  0.00132034
         188   -0.432971    -0.44514  0.00131492
         189   -0.426099    -0.44504  0.00131181
         190   -0.412391   -0.444868  0.00131612
         191   -0.469373   -0.444996  0.00131546
         192   -0.452237   -0.445034  0.00130915
         193   -0.445668   -0.445037  0.00130237
         194   -0.459036   -0.445109  0.00129766
         195   -0.441389    -0.44509  0.00129114
         196   -0.452374   -0.445127  0.00128509
         197   -0.437485   -0.445089  0.00127915
         198   -0.406432   -0.444893   0.0012875
         199   -0.470375   -0.445021  0.00128739
         200   -0.455383   -0.445073  0.00128199
