#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59688     1.59688           0
           2     1.59701     1.59695 4.67712e-05
           3     1.59689     1.59693 3.49885e-05
           4     1.59696     1.59694  2.7306e-05
           5     1.59697     1.59694 2.26885e-05
           6      1.5969     1.59694 2.01006e-05
           7     1.59694     1.59694 1.72528e-05
           8      1.5969     1.59693 1.57419e-05
           9     1.59706     1.59695 1.91863e-05
          10     1.59686     1.59694 1.91758e-05
          11     1.59696     1.59694 1.75835e-05
          12     1.59695     1.59694 1.61553e-05
          13     1.59701     1.59695 1.57618e-05
          14     1.59695     1.59695 1.46422e-05
          15     1.59693     1.59694 1.37314e-05
          16     1.59686     1.59694 1.37871e-05
          17     1.59709     1.59695 1.55298e-05
          18     1.59702     1.59695 1.51486e-05
          19     1.59695     1.59695  1.4352e-05
          20     1.59708     1.59696 1.49126e-05
