#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.95511     1.95511           0
           2     1.96692     1.96102  0.00417524
           3     1.96646     1.96283   0.0031527
           4     2.00113     1.97241   0.0086231
           5     1.94633     1.96719  0.00832764
           6     1.97094     1.96782  0.00696316
           7     1.94594     1.96469  0.00663288
           8     1.99692     1.96872  0.00691986
           9     1.92164     1.96349  0.00788434
          10     1.96902     1.96404  0.00711527
          11     1.92933     1.96088  0.00713398
          12     1.94384     1.95946  0.00667941
          13     1.91586     1.95611    0.006957
          14      1.9302     1.95426   0.0067017
          15     2.01903     1.95858  0.00751826
          16     1.94876     1.95796  0.00707336
          17     1.99032     1.95987  0.00690867
          18     1.97433     1.96067  0.00657144
          19     2.00145     1.96282  0.00656664
          20     1.93408     1.96138  0.00639359
