   #BLOCK      # VELOCITY:     AVE_POFV:        ERROR:
           5     2.33333     0.36184    0.315236   0.0214942
           5     2.46667    0.322431    0.264979   0.0252311
           5         2.6    0.348924    0.261486   0.0281513
           5     2.73333    0.257188    0.263243   0.0288643
           5     2.86667    0.180937    0.191479  0.00937481
           5           3      0.2125    0.178354   0.0165359
           5     3.13333    0.106215    0.158361   0.0238263
           5     3.26667    0.147882    0.127486   0.0231113
           5         3.4    0.103021    0.112868  0.00785582
           5     3.53333   0.0238542     0.06975   0.0103889
           5     3.66667   0.0110069   0.0340764  0.00832883
           5         3.8   0.0172917   0.0194028  0.00339795
           5     3.93333   0.0188194   0.0117431  0.00192208
           6   0.0666667 0.000173611  0.00514468   0.0044561
           6         0.2  0.00329861   0.0151968  0.00534857
           6    0.333333  0.00899306   0.0433391  0.00654383
           6    0.466667    0.124653    0.111661   0.0132771
           6         0.6    0.187639    0.161441   0.0101062
           6    0.733333    0.200278    0.205584   0.0182113
           6    0.866667     0.28875     0.29467   0.0107051
           6           1    0.336354    0.344676   0.0128283
           6     1.13333    0.420694    0.418738   0.0213009
           6     1.26667    0.516979    0.472187   0.0400722
           6         1.4       0.615     0.49901   0.0236673
           6     1.53333    0.690764    0.615422    0.025908
           6     1.66667    0.376736    0.552043   0.0484583
           6         1.8    0.363889    0.483785   0.0365597
           6     1.93333    0.431319     0.46423    0.030991
           6     2.06667    0.407257    0.437407   0.0134826
           6         2.2    0.421806    0.329456   0.0247804
           6     2.33333    0.372535    0.324786   0.0199207
           6     2.46667    0.252083     0.26283   0.0211173
           6         2.6    0.247674    0.259184   0.0235533
           6     2.73333    0.253368    0.261597   0.0241005
           6     2.86667    0.260069    0.202911    0.013036
           6           3    0.182292     0.17901   0.0137929
           6     3.13333    0.179514    0.161887   0.0201144
           6     3.26667      0.2025    0.139988   0.0223871
           6         3.4   0.0698611      0.1057   0.0092559
           6     3.53333   0.0126736   0.0602373   0.0122622
           6     3.66667  0.00256944   0.0288252  0.00843517
           6         3.8  0.00232639   0.0165567  0.00384294
           6     3.93333   0.0186111   0.0128877  0.00191245
           7   0.0666667  0.00451389  0.00505456  0.00382043
           7         0.2  0.00763889   0.0141171   0.0046922
           7    0.333333   0.0564931   0.0452183  0.00587261
           7    0.466667    0.093125    0.109013   0.0116414
           7         0.6    0.139028    0.158239  0.00915566
           7    0.733333    0.202465    0.205139   0.0156152
           7    0.866667      0.3725    0.305789   0.0137898
           7           1     0.52625    0.370615   0.0264126
           7     1.13333    0.384062    0.413785   0.0188251
           7     1.26667    0.427292    0.465774   0.0348571
           7         1.4    0.507014    0.500154   0.0203139
           7     1.53333    0.600972    0.613358   0.0222889
           7     1.66667     0.53066    0.548988   0.0416319
           7         1.8    0.531458    0.490595   0.0319649
           7     1.93333    0.562986    0.478338   0.0296012
           7     2.06667    0.440347    0.437827    0.011563
           7         2.2    0.343715    0.331493   0.0213239
           7     2.33333    0.294965    0.320526   0.0175245
           7     2.46667    0.249792    0.260967   0.0181825
           7         2.6    0.242569    0.256811   0.0203078
           7     2.73333    0.162986     0.24751   0.0244302
           7     2.86667    0.129653    0.192445   0.0147895
           7           3    0.171285    0.177907   0.0118666
           7     3.13333   0.0812847    0.150372   0.0202705
           7     3.26667   0.0699306     0.12998   0.0213089
           7         3.4   0.0682639    0.100352  0.00935191
           7     3.53333   0.0228819   0.0549008   0.0116138
           7     3.66667    0.041875   0.0306895   0.0074333
           7         3.8   0.0317708   0.0187302  0.00385994
           7     3.93333   0.0323611   0.0156696  0.00305296
           8   0.0666667 0.000486111  0.00448351  0.00338529
           8         0.2   0.0507986   0.0187023  0.00593739
           8    0.333333   0.0972569   0.0517231  0.00796419
           8    0.466667    0.126736    0.111228   0.0103949
           8         0.6    0.199375    0.163381  0.00934422
           8    0.733333    0.161042    0.199627   0.0146038
           8    0.866667    0.256181    0.299588   0.0133879
           8           1      0.4025    0.374601   0.0234098
           8     1.13333    0.407465    0.412995   0.0164885
           8     1.26667    0.425486    0.460738   0.0308616
           8         1.4    0.555278    0.507044   0.0189072
           8     1.53333    0.548437    0.605243    0.020928
           8     1.66667     0.47434    0.539657    0.037459
           8         1.8     0.52625    0.495052   0.0282783
           8     1.93333    0.395069     0.46793   0.0276706
           8     2.06667    0.381424    0.430777   0.0120774
           8         2.2    0.450972    0.346428   0.0233089
           8     2.33333    0.275208    0.314861   0.0162236
           8     2.46667    0.359375    0.273268   0.0196346
           8         2.6    0.214201    0.251484   0.0184546
           8     2.73333    0.333646    0.258277   0.0236303
           8     2.86667    0.191354    0.192309   0.0129415
           8           3     0.17375    0.177387   0.0103946
           8     3.13333   0.0765972     0.14115   0.0197231
           8     3.26667   0.0550347    0.120612   0.0206019
           8         3.4   0.0721528   0.0968273  0.00882225
           8     3.53333   0.0339236   0.0522786   0.0104539
           8     3.66667   0.0363194   0.0313932  0.00653737
           8         3.8   0.0940972    0.028151  0.00943748
           8     3.93333   0.0545139   0.0205252  0.00526927
           9   0.0666667   0.0457639  0.00907022  0.00526833
           9         0.2   0.0454861   0.0216782  0.00597715
           9    0.333333    0.116597   0.0589313  0.00981334
           9    0.466667    0.158507    0.116481   0.0104836
           9         0.6    0.275382    0.175826   0.0143753
           9    0.733333    0.226076    0.202566   0.0132736
           9    0.866667    0.223333    0.291115   0.0143328
           9           1    0.394618    0.376825   0.0209141
           9     1.13333    0.454583    0.417616   0.0152903
           9     1.26667    0.284479    0.441154   0.0330677
           9         1.4    0.310243    0.485177   0.0265986
           9     1.53333    0.636146    0.608677   0.0188823
           9     1.66667    0.582917    0.544464   0.0336038
           9         1.8    0.417708    0.486458   0.0264098
           9     1.93333    0.376771    0.457801   0.0263848
           9     2.06667    0.364618    0.423426   0.0127782
           9         2.2    0.519896    0.365702    0.027559
           9     2.33333    0.254896    0.308198   0.0157298
           9     2.46667    0.433403    0.291061   0.0242077
           9         2.6    0.346528    0.262045   0.0191891
           9     2.73333    0.226215    0.254715   0.0212715
           9     2.86667    0.285833    0.202701   0.0151102
           9           3    0.182813     0.17799  0.00925712
           9     3.13333    0.118715    0.138657   0.0176885
           9     3.26667   0.0452083    0.112234   0.0199438
           9         3.4   0.0445139   0.0910147  0.00956709
           9     3.53333   0.0338542   0.0502315  0.00949065
           9     3.66667    0.024375   0.0306134  0.00585732
           9         3.8  0.00420139     0.02549  0.00875601
           9     3.93333  0.00666667   0.0189853  0.00490363
          10   0.0666667   0.0171528  0.00987847   0.0048031
          10         0.2   0.0285069   0.0223611   0.0054183
          10    0.333333    0.151076   0.0681458   0.0124266
          10    0.466667    0.134757    0.118309  0.00959322
          10         0.6    0.184028    0.176646   0.0129611
          10    0.733333    0.286215    0.210931   0.0143418
          10    0.866667    0.171007    0.279104   0.0172113
          10           1    0.333264    0.372469    0.019271
          10     1.13333    0.384062     0.41426   0.0141246
          10     1.26667    0.427326    0.439771   0.0297898
          10         1.4    0.475451    0.484205   0.0239565
          10     1.53333    0.494757    0.597285   0.0201394
          10     1.66667    0.450243    0.535042   0.0315367
          10         1.8    0.457569    0.483569   0.0239263
          10     1.93333    0.380382    0.450059   0.0248562
          10     2.06667    0.436597    0.424743   0.0115681
          10         2.2    0.512743    0.380406   0.0284566
          10     2.33333    0.387187    0.316097   0.0160178
          10     2.46667    0.495035    0.311458   0.0291396
          10         2.6    0.270139    0.262854   0.0172873
          10     2.73333    0.269028    0.256146   0.0191925
          10     2.86667    0.113056    0.193736   0.0160394
          10           3    0.193889     0.17958  0.00846683
          10     3.13333    0.112153    0.136007    0.016117
          10     3.26667     0.03875    0.104885   0.0192557
          10         3.4     0.04875   0.0867882  0.00949818
          10     3.53333   0.0614931   0.0513576  0.00860814
