0.93787	0.241771	-0.248891	
1.33226	0.906593	0.385514	
0.997515	1.07457	1.31273	
1.91566	1.26537	1.66001	
2.91064	1.34457	1.59876	
3.26731	1.61509	0.704558	
3.56734	1.40775	1.63568	
2.87245	0.94058	2.18237	
3.44586	1.23581	2.94659	
4.02991	0.905891	2.20495	
3.57733	1.5678	2.80249	
4.56126	1.70811	2.69201	
4.5622	1.6039	3.68657	
5.53947	1.40429	3.75795	
5.12045	2.29288	3.57128	
4.78668	1.95704	4.45208	
4.15501	1.45655	3.86005	
4.90109	0.900597	4.22651	
4.82934	0.00899447	4.6736	
5.68067	-0.00882385	5.19793	
6.40585	0.295293	4.58017	
6.63197	-0.334765	3.83727	
5.63719	-0.272428	3.75651	
6.16286	0.578137	3.77088	
5.68752	0.980111	4.55348	
5.16187	1.63299	5.09887	
4.52828	2.34926	5.39132	
4.12352	2.08106	6.26553	
4.26948	1.14494	5.94557	
4.57171	2.07665	5.74413	
5.16989	2.34817	4.99016	
5.77377	2.8776	5.586	
4.82887	2.81871	5.264	
4.92357	1.90359	4.8721	
4.01762	2.15983	5.20913	
3.25987	1.83662	5.77601	
2.45728	2.38975	5.99941	
2.79999	2.95532	5.24929	
2.23777	2.24702	5.67616	
2.09975	1.31988	5.3278	
1.7687	1.75762	6.16374	
2.20948	2.63624	6.34746	
2.88031	1.9732	6.01523	
2.48528	1.88562	5.10074	
1.92135	2.66089	5.38526	
2.00895	3.5402	5.85339	
2.82897	2.99943	5.66589	
2.70239	3.70694	6.36117	
2.84649	3.19768	5.5127	
2.38347	4.06772	5.68198	
2.40273	4.50644	4.78357	
1.90395	5.02291	4.08751	
1.94105	5.26174	5.05786	
2.47687	5.98223	4.61764	
2.05278	6.08158	5.5178	
2.78523	5.48811	5.18416	
3.47938	5.30309	5.87981	
4.0073	5.33667	6.72844	
4.62507	5.50448	5.96019	
4.77886	5.79975	6.90314	
4.35388	5.72573	6.00097	
3.8166	6.0136	5.20821	
4.37642	5.82157	4.40216	
3.51198	6.3239	4.38194	
3.61279	6.86485	3.54695	
3.89613	7.77196	3.8582	
4.13064	7.74849	2.88637	
4.25306	7.18065	2.07238	
4.0415	6.63034	1.26466	
4.50895	7.19808	1.94228	
3.55694	7.11498	1.6477	
2.67424	7.43316	1.30187	
3.17053	7.26881	0.449413	
3.82451	6.53208	0.621258	
2.84436	6.72911	0.642963	
1.96321	6.83267	1.10432	
2.30722	6.40745	1.94148	
1.32978	6.58414	1.82579	
2.17068	7.067	2.07021	
1.44633	7.69954	1.79596	
1.55161	6.8223	1.3276	
2.31006	6.2319	1.05157	
3.08158	6.55252	0.502053	
3.84171	6.54595	-0.147687	
4.5019	6.11417	0.466901	
3.55719	6.29863	0.195781	
4.4766	6.36903	-0.191182	
4.76813	7.32519	-0.163537	
4.56967	8.0279	0.519709	
4.2523	7.39277	1.2239	
4.6961	7.0635	0.390462	
5.41311	6.47713	0.0135383	
6.2928	6.37897	-0.451771	
7.06296	6.96121	-0.191306	
6.37766	6.6606	0.472019	
7.31602	6.31965	0.528922	
6.45939	6.82342	0.417577	
7.19976	6.80765	-0.25444	
7.58979	5.89072	-0.170078	
8.35205	5.51478	0.35682	
