#step 	 	 AVERAGE 	 	 ERROR
1 	 	 1 	 	 0
2 	 	 1.41273 	 	 0.00384554
3 	 	 1.73487 	 	 0.0053942
4 	 	 2.00425 	 	 0.00608705
5 	 	 2.23949 	 	 0.00728154
6 	 	 2.45239 	 	 0.00873499
7 	 	 2.64595 	 	 0.00975153
8 	 	 2.82653 	 	 0.0101291
9 	 	 2.99676 	 	 0.0115602
10 	 	 3.15204 	 	 0.0130911
11 	 	 3.29876 	 	 0.0144189
12 	 	 3.45583 	 	 0.014908
13 	 	 3.59584 	 	 0.0150536
14 	 	 3.72575 	 	 0.0161329
15 	 	 3.85742 	 	 0.0161854
16 	 	 3.97619 	 	 0.0165189
17 	 	 4.09915 	 	 0.0169933
18 	 	 4.21933 	 	 0.0175192
19 	 	 4.3438 	 	 0.0175258
20 	 	 4.45455 	 	 0.0163565
21 	 	 4.56188 	 	 0.0167207
22 	 	 4.66966 	 	 0.017499
23 	 	 4.78266 	 	 0.0183589
24 	 	 4.89278 	 	 0.0183102
25 	 	 5.00354 	 	 0.0193185
26 	 	 5.10309 	 	 0.0197973
27 	 	 5.19368 	 	 0.0209298
28 	 	 5.29433 	 	 0.0207227
29 	 	 5.38624 	 	 0.0208477
30 	 	 5.48176 	 	 0.0209871
31 	 	 5.56829 	 	 0.021183
32 	 	 5.66053 	 	 0.0224035
33 	 	 5.74262 	 	 0.0232324
34 	 	 5.83224 	 	 0.0235828
35 	 	 5.91559 	 	 0.0242683
36 	 	 5.99456 	 	 0.0249078
37 	 	 6.06842 	 	 0.0250484
38 	 	 6.14538 	 	 0.0251989
39 	 	 6.21502 	 	 0.0249292
40 	 	 6.30171 	 	 0.0261821
41 	 	 6.36648 	 	 0.0265351
42 	 	 6.45198 	 	 0.0261129
43 	 	 6.54009 	 	 0.026543
44 	 	 6.61152 	 	 0.0267691
45 	 	 6.67675 	 	 0.0271259
46 	 	 6.74854 	 	 0.027364
47 	 	 6.81601 	 	 0.0271549
48 	 	 6.89352 	 	 0.0280385
49 	 	 6.96456 	 	 0.0288294
50 	 	 7.04081 	 	 0.0297661
51 	 	 7.10431 	 	 0.0300008
52 	 	 7.16743 	 	 0.0306099
53 	 	 7.24162 	 	 0.0321346
54 	 	 7.31358 	 	 0.0321291
55 	 	 7.38669 	 	 0.0317482
56 	 	 7.45147 	 	 0.0321084
57 	 	 7.52148 	 	 0.0322348
58 	 	 7.59381 	 	 0.0327949
59 	 	 7.6524 	 	 0.0324589
60 	 	 7.72048 	 	 0.0328875
61 	 	 7.77929 	 	 0.0325253
62 	 	 7.83471 	 	 0.0320157
63 	 	 7.90033 	 	 0.0322899
64 	 	 7.96804 	 	 0.0319343
65 	 	 8.02894 	 	 0.0326324
66 	 	 8.08264 	 	 0.0325152
67 	 	 8.14469 	 	 0.0325941
68 	 	 8.20851 	 	 0.0329351
69 	 	 8.26905 	 	 0.0343162
70 	 	 8.33298 	 	 0.0352492
71 	 	 8.3906 	 	 0.0360446
72 	 	 8.45663 	 	 0.0361773
73 	 	 8.50999 	 	 0.0368226
74 	 	 8.56537 	 	 0.0373946
75 	 	 8.6214 	 	 0.0381625
76 	 	 8.68222 	 	 0.038044
77 	 	 8.74275 	 	 0.0378966
78 	 	 8.79951 	 	 0.0385351
79 	 	 8.85358 	 	 0.0384953
80 	 	 8.90368 	 	 0.03897
81 	 	 8.95255 	 	 0.0385588
82 	 	 8.99926 	 	 0.0396044
83 	 	 9.05845 	 	 0.0386551
84 	 	 9.11322 	 	 0.0386091
85 	 	 9.1703 	 	 0.0389684
86 	 	 9.22342 	 	 0.039203
87 	 	 9.28542 	 	 0.0399103
88 	 	 9.34405 	 	 0.0393892
89 	 	 9.40023 	 	 0.0394517
90 	 	 9.44371 	 	 0.0401381
91 	 	 9.50313 	 	 0.0398783
92 	 	 9.55016 	 	 0.0393723
93 	 	 9.59732 	 	 0.0394514
94 	 	 9.64679 	 	 0.0393033
95 	 	 9.70017 	 	 0.0399844
96 	 	 9.76125 	 	 0.0410484
97 	 	 9.81495 	 	 0.0414821
98 	 	 9.86879 	 	 0.042255
99 	 	 9.9157 	 	 0.0427221
100 	 	 9.9555 	 	 0.0431738
