#   T:  ACCEPTANCE:
       0.875    0.175805
       0.875    0.175479
       0.875    0.175366
       0.875    0.174793
       0.875    0.175267
       0.875    0.175101
       0.875    0.175213
       0.875    0.175429
       0.875    0.175475
       0.875    0.175441
       0.875    0.175646
       0.875    0.175827
       0.875    0.175668
       0.875    0.175726
       0.875    0.175739
       0.875     0.17566
         0.9    0.188278
         0.9    0.190223
         0.9    0.189809
         0.9    0.188737
         0.9    0.188217
         0.9    0.188036
         0.9    0.187974
         0.9    0.188181
         0.9    0.187978
         0.9    0.187911
         0.9    0.187845
         0.9    0.187529
         0.9    0.187254
         0.9    0.187186
         0.9    0.186781
         0.9    0.187028
         0.9     0.18721
         0.9    0.187079
         0.9    0.187078
         0.9     0.18718
       0.925    0.196418
       0.925    0.196722
       0.925      0.1975
       0.925     0.19689
       0.925     0.19747
       0.925    0.197925
       0.925    0.197762
       0.925    0.198043
       0.925    0.198099
       0.925    0.198004
       0.925    0.197773
       0.925    0.198182
       0.925    0.198178
       0.925    0.198356
       0.925    0.198394
       0.925    0.198298
       0.925    0.198199
       0.925     0.19846
       0.925    0.198483
       0.925    0.198518
        0.95    0.212198
        0.95     0.21016
        0.95    0.210138
        0.95     0.21037
        0.95    0.210483
        0.95    0.209971
        0.95    0.210149
        0.95    0.209827
        0.95    0.210049
        0.95    0.210307
        0.95    0.210212
        0.95    0.210204
        0.95    0.210152
        0.95    0.210091
        0.95    0.210018
        0.95    0.209971
        0.95    0.209858
        0.95    0.209969
        0.95     0.20997
        0.95    0.209935
       0.975    0.217944
       0.975    0.219613
       0.975    0.219803
       0.975    0.220768
       0.975    0.220663
       0.975    0.220677
       0.975    0.220808
       0.975    0.221152
       0.975    0.220965
       0.975    0.220937
       0.975    0.220852
       0.975    0.220773
       0.975    0.220792
       0.975    0.220466
       0.975    0.220398
       0.975    0.220205
       0.975     0.21995
       0.975    0.219836
       0.975    0.219766
       0.975    0.219724
           1    0.229968
           1     0.23156
           1     0.23148
           1    0.231749
           1    0.232287
           1    0.232413
           1    0.232197
           1     0.23199
           1    0.232057
           1    0.231944
           1    0.231987
           1    0.231971
           1     0.23209
           1    0.232154
           1    0.232023
           1    0.231993
           1    0.231961
           1    0.231819
           1    0.231902
           1     0.23202
       1.025    0.241466
       1.025    0.241798
       1.025    0.241735
       1.025    0.241597
       1.025    0.241769
       1.025    0.241768
       1.025    0.241765
       1.025    0.241834
       1.025    0.241606
       1.025    0.241648
       1.025    0.241537
       1.025     0.24182
       1.025    0.241918
       1.025    0.241929
       1.025    0.242066
       1.025    0.242139
       1.025    0.242065
       1.025    0.242054
       1.025    0.241978
       1.025    0.242019
        1.05    0.252507
        1.05    0.252191
        1.05    0.252161
        1.05    0.252338
        1.05    0.252005
        1.05    0.252418
        1.05    0.252503
        1.05     0.25222
        1.05    0.252346
        1.05    0.252487
        1.05    0.252467
        1.05    0.252424
        1.05      0.2524
        1.05    0.252501
        1.05    0.252517
        1.05    0.252575
        1.05    0.252622
        1.05    0.252755
        1.05    0.252682
        1.05    0.252744
       1.075    0.262521
       1.075    0.261403
       1.075    0.261933
       1.075    0.262231
       1.075    0.262392
       1.075    0.262655
       1.075    0.262648
       1.075    0.262563
       1.075    0.262605
       1.075    0.262577
       1.075    0.262486
       1.075    0.262532
       1.075    0.262465
       1.075    0.262464
       1.075    0.262485
       1.075    0.262548
       1.075    0.262461
       1.075    0.262522
       1.075    0.262594
       1.075    0.262546
         1.1    0.273188
         1.1     0.27199
         1.1    0.272176
         1.1    0.272112
         1.1    0.272692
         1.1     0.27296
         1.1    0.272742
         1.1    0.272909
         1.1     0.27266
         1.1    0.272735
         1.1    0.272787
         1.1    0.272855
         1.1    0.272632
         1.1    0.272428
         1.1    0.272314
         1.1     0.27242
         1.1    0.272377
         1.1    0.272475
         1.1    0.272511
         1.1    0.272536
       1.125    0.283593
       1.125    0.283407
       1.125    0.282819
       1.125    0.281824
       1.125    0.282427
       1.125    0.282526
       1.125    0.282627
       1.125    0.282843
       1.125    0.282833
       1.125    0.282745
       1.125    0.282824
       1.125    0.282635
       1.125    0.282729
       1.125    0.282857
       1.125    0.282783
       1.125    0.282724
       1.125    0.282798
       1.125    0.282863
       1.125    0.282832
       1.125    0.282904
        1.15    0.292518
        1.15    0.292829
        1.15    0.293915
        1.15    0.294078
        1.15    0.293696
        1.15    0.293425
        1.15    0.293263
        1.15    0.293386
        1.15    0.293123
        1.15    0.293111
        1.15    0.292778
        1.15     0.29275
        1.15     0.29262
        1.15    0.292533
        1.15    0.292543
        1.15    0.292497
        1.15    0.292562
        1.15     0.29251
        1.15    0.292469
        1.15    0.292588
       1.175    0.301991
       1.175    0.303307
       1.175    0.303209
       1.175     0.30281
       1.175    0.302607
       1.175    0.302534
       1.175    0.302514
       1.175    0.302507
       1.175    0.302268
       1.175    0.301967
       1.175    0.302285
       1.175    0.302181
       1.175    0.302175
       1.175    0.302213
       1.175    0.302251
       1.175    0.302114
       1.175    0.302043
       1.175    0.302067
       1.175    0.302013
       1.175    0.301992
         1.2    0.313479
         1.2    0.312796
         1.2    0.312325
         1.2    0.311837
         1.2    0.311613
         1.2    0.311644
         1.2    0.311805
         1.2    0.311646
         1.2    0.311734
         1.2    0.311741
         1.2    0.311918
         1.2     0.31204
         1.2    0.312201
         1.2    0.312316
         1.2    0.312182
         1.2    0.311956
         1.2    0.311902
         1.2    0.311867
         1.2     0.31172
         1.2    0.311673
       1.225    0.322675
       1.225    0.321923
       1.225    0.321966
       1.225    0.321667
       1.225     0.32166
       1.225      0.3214
       1.225    0.321319
       1.225    0.321425
       1.225     0.32157
       1.225    0.321323
       1.225    0.321352
       1.225     0.32127
       1.225    0.321331
       1.225    0.321292
       1.225    0.321267
       1.225    0.321314
       1.225    0.321244
       1.225    0.321221
       1.225    0.321146
       1.225    0.321118
        1.25     0.32779
        1.25    0.329114
        1.25    0.329172
        1.25    0.329554
        1.25    0.329524
        1.25    0.329522
        1.25    0.329498
        1.25    0.329473
        1.25    0.329555
