#   T:  ACCEPTANCE:
         0.5    0.021378
         0.5    0.025263
         0.5   0.0276173
         0.5    0.026548
         0.5    0.026705
         0.5   0.0267883
         0.5   0.0272314
         0.5   0.0270985
         0.5   0.0264631
         0.5   0.0258561
         0.5   0.0254319
         0.5   0.0257407
         0.5   0.0256838
         0.5   0.0261397
         0.5   0.0257103
         0.5   0.0252166
         0.5   0.0254669
         0.5   0.0254584
         0.5   0.0256233
         0.5   0.0256752
       0.525    0.035609
       0.525   0.0362355
       0.525   0.0350887
       0.525    0.035076
       0.525   0.0348846
       0.525   0.0354622
       0.525   0.0355716
       0.525   0.0350639
       0.525   0.0349952
       0.525   0.0356918
       0.525   0.0354013
       0.525   0.0357773
       0.525   0.0352997
       0.525   0.0351626
       0.525   0.0350809
       0.525   0.0353265
       0.525   0.0347927
       0.525   0.0347848
       0.525   0.0348698
       0.525   0.0348594
        0.55      0.0466
        0.55    0.042461
        0.55   0.0410543
        0.55    0.042497
        0.55    0.043029
        0.55   0.0428937
        0.55   0.0428623
        0.55   0.0436031
        0.55   0.0436324
        0.55   0.0439337
        0.55     0.04385
        0.55   0.0435917
        0.55   0.0432638
        0.55   0.0432613
        0.55   0.0430247
        0.55   0.0432888
        0.55   0.0433794
        0.55   0.0432023
        0.55   0.0432728
        0.55   0.0432929
       0.575    0.055585
       0.575     0.05425
       0.575    0.053988
       0.575   0.0538817
       0.575   0.0534042
       0.575   0.0537682
       0.575   0.0532749
       0.575     0.05318
       0.575   0.0528396
       0.575   0.0523736
       0.575   0.0528515
       0.575   0.0525586
       0.575   0.0525576
       0.575   0.0526051
       0.575    0.052638
       0.575   0.0527066
       0.575   0.0529291
       0.575   0.0530909
       0.575   0.0531438
       0.575   0.0532069
         0.6    0.065571
         0.6   0.0639825
         0.6   0.0651383
         0.6   0.0648732
         0.6   0.0645792
         0.6   0.0641807
         0.6    0.064168
         0.6   0.0644862
         0.6   0.0643908
         0.6   0.0643434
         0.6   0.0644985
         0.6     0.06431
         0.6    0.064106
         0.6    0.064204
         0.6   0.0647239
         0.6    0.064579
         0.6   0.0645211
         0.6   0.0641516
         0.6   0.0641794
         0.6   0.0642414
       0.625    0.071897
       0.625   0.0748055
       0.625   0.0765907
       0.625     0.07592
       0.625   0.0751806
       0.625   0.0757513
       0.625   0.0761941
       0.625   0.0761786
       0.625   0.0759748
       0.625   0.0767869
       0.625   0.0767386
       0.625   0.0765462
       0.625   0.0763038
       0.625   0.0764584
       0.625   0.0768492
       0.625   0.0768188
       0.625   0.0766688
       0.625    0.076497
       0.625   0.0763148
       0.625   0.0765606
        0.65    0.087186
        0.65    0.084918
        0.65    0.084796
        0.65    0.086291
        0.65    0.086596
        0.65   0.0869143
        0.65   0.0869203
        0.65   0.0870202
        0.65   0.0871459
        0.65   0.0873395
        0.65   0.0870102
        0.65   0.0873963
        0.65   0.0873286
        0.65   0.0874189
        0.65   0.0870855
        0.65   0.0869644
        0.65   0.0869879
        0.65   0.0868213
        0.65   0.0867174
        0.65   0.0866925
       0.675    0.093327
       0.675    0.095529
       0.675   0.0958027
       0.675   0.0958235
       0.675   0.0963178
       0.675   0.0968885
       0.675   0.0969639
       0.675   0.0977041
       0.675   0.0972666
       0.675   0.0971929
       0.675   0.0972337
       0.675   0.0974006
       0.675   0.0973983
       0.675   0.0972604
       0.675   0.0973426
       0.675   0.0973049
       0.675   0.0972984
       0.675   0.0971835
       0.675   0.0970744
       0.675   0.0970836
         0.7    0.108363
         0.7    0.107527
         0.7    0.108354
         0.7    0.108027
         0.7    0.107843
         0.7    0.107771
         0.7    0.107787
         0.7    0.107384
         0.7    0.107593
         0.7    0.107641
         0.7    0.107738
         0.7    0.107884
         0.7    0.108131
         0.7    0.108056
         0.7    0.108162
         0.7    0.108277
         0.7    0.108452
         0.7     0.10839
         0.7    0.108342
         0.7    0.108308
       0.725    0.118253
       0.725     0.11943
       0.725    0.117867
       0.725    0.116952
       0.725    0.116924
       0.725    0.116804
       0.725    0.117356
       0.725    0.117789
       0.725    0.118336
       0.725    0.118454
       0.725    0.118712
       0.725    0.118819
       0.725    0.118898
       0.725     0.11877
       0.725    0.119035
       0.725    0.119123
       0.725    0.119126
       0.725    0.118867
       0.725    0.118719
       0.725    0.118592
        0.75    0.132299
        0.75    0.129187
        0.75    0.128933
        0.75    0.128895
        0.75    0.129919
        0.75    0.130347
        0.75    0.130191
        0.75    0.129662
        0.75    0.129716
        0.75    0.129674
        0.75    0.129569
        0.75    0.129493
        0.75     0.12936
        0.75     0.12955
        0.75    0.129451
        0.75     0.12966
        0.75    0.129742
        0.75    0.129935
        0.75    0.129825
        0.75    0.129952
       0.775    0.139292
       0.775    0.139844
       0.775    0.140963
       0.775    0.140511
       0.775     0.14079
       0.775    0.141264
       0.775    0.141237
       0.775    0.141006
       0.775    0.140836
       0.775    0.140777
       0.775    0.140787
       0.775    0.140918
       0.775     0.14092
       0.775    0.141045
       0.775    0.141121
       0.775     0.14107
       0.775    0.141204
       0.775     0.14113
       0.775    0.141158
       0.775    0.141138
         0.8    0.152257
         0.8    0.152497
         0.8    0.150983
         0.8    0.150225
         0.8    0.150696
         0.8    0.150978
         0.8    0.151291
         0.8    0.151376
         0.8    0.151449
         0.8    0.151526
         0.8     0.15161
         0.8    0.151559
         0.8    0.151476
         0.8    0.151516
         0.8    0.151116
         0.8    0.151109
         0.8    0.151252
         0.8    0.151444
         0.8    0.151477
         0.8    0.151617
       0.825    0.162846
       0.825    0.161988
       0.825    0.162521
       0.825    0.162869
       0.825    0.162779
       0.825    0.162389
       0.825    0.162381
       0.825      0.1625
       0.825     0.16265
       0.825    0.162495
       0.825    0.162649
       0.825     0.16241
       0.825    0.162411
       0.825    0.162333
       0.825    0.162459
       0.825    0.162468
       0.825    0.162517
       0.825    0.162495
       0.825    0.162455
       0.825    0.162448
        0.85     0.17638
        0.85    0.175087
        0.85    0.173522
        0.85     0.17407
        0.85     0.17362
        0.85    0.173561
        0.85    0.173671
        0.85    0.173931
        0.85    0.174003
        0.85    0.174441
        0.85    0.174162
        0.85    0.173888
        0.85    0.174111
        0.85    0.174315
        0.85    0.174304
        0.85    0.174522
        0.85    0.174372
        0.85    0.174494
        0.85    0.174445
        0.85     0.17439
       0.875    0.185489
       0.875    0.184959
       0.875    0.185112
       0.875    0.185541
       0.875    0.185046
       0.875    0.184697
       0.875    0.184473
       0.875    0.184301
       0.875    0.184672
       0.875    0.184775
       0.875    0.184645
       0.875    0.184816
       0.875    0.185071
       0.875     0.18493
       0.875     0.18502
       0.875    0.184985
       0.875    0.184857
       0.875    0.184784
       0.875    0.184797
       0.875    0.184699
         0.9    0.196672
         0.9    0.197957
         0.9    0.198107
         0.9    0.197101
         0.9    0.196731
         0.9    0.196339
         0.9    0.196622
         0.9    0.196543
         0.9    0.196551
         0.9    0.196607
         0.9    0.196244
         0.9    0.196053
         0.9    0.196019
         0.9    0.196025
         0.9     0.19578
         0.9    0.195808
         0.9     0.19582
         0.9    0.195689
         0.9    0.195752
         0.9     0.19588
       0.925    0.205529
       0.925    0.206761
       0.925    0.206494
       0.925    0.206154
       0.925    0.206433
       0.925    0.206589
       0.925    0.206662
       0.925    0.207035
       0.925    0.206645
       0.925    0.206593
       0.925    0.206342
       0.925    0.206509
       0.925    0.206263
       0.925     0.20627
       0.925    0.206183
       0.925    0.206227
       0.925    0.206125
       0.925    0.206242
       0.925    0.206268
       0.925    0.206254
        0.95    0.217868
        0.95    0.217323
        0.95    0.217285
        0.95    0.217799
        0.95    0.218017
        0.95    0.217592
        0.95    0.217572
        0.95    0.217341
        0.95    0.217655
        0.95    0.218043
        0.95    0.218093
        0.95    0.218152
        0.95    0.217966
        0.95     0.21788
        0.95    0.217772
        0.95    0.217727
        0.95    0.217656
        0.95    0.217816
        0.95     0.21782
        0.95    0.217661
       0.975    0.226983
       0.975    0.227484
       0.975    0.227222
       0.975    0.227694
       0.975    0.227745
       0.975    0.227628
       0.975     0.22778
       0.975    0.227966
       0.975    0.227802
       0.975    0.227728
       0.975    0.227651
       0.975    0.227497
       0.975     0.22718
