#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
        0.65           2    0.534718    0.532251  0.00174443
        0.65           3    0.550824    0.538442  0.00518698
        0.65           4    0.551362    0.541672  0.00479152
        0.65           5    0.548672    0.543072  0.00403256
        0.65           6    0.545592    0.543492  0.00338227
        0.65           7    0.576048    0.548143  0.00519087
        0.65           8    0.588292    0.553161   0.0065321
        0.65           9     0.55367    0.553218  0.00580655
        0.65          10    0.642728    0.562169  0.00997088
        0.65          11    0.530202    0.559263  0.00947848
        0.65          12    0.617704    0.564133  0.00986069
        0.65          13    0.514004    0.560277  0.00982726
        0.65          14     0.53012    0.558123  0.00935842
        0.65          15      0.6421    0.563721   0.0102735
        0.65          16    0.528062    0.561493  0.00987021
        0.65          17    0.499072    0.557821  0.00994917
        0.65          18    0.616798    0.561097   0.0099213
        0.65          19    0.438764    0.554659   0.0112968
        0.65          20    0.650016    0.559427   0.0116949
       0.675           1    0.550282    0.550282           0
       0.675           2    0.488112    0.519197   0.0219804
       0.675           3    0.505614    0.514669   0.0151127
       0.675           4    0.456102    0.500028   0.0170076
       0.675           5    0.382394    0.476501   0.0250585
       0.675           6    0.462062    0.474094   0.0209974
       0.675           7    0.497276    0.477406    0.018257
       0.675           8     0.51068    0.481565   0.0164418
       0.675           9    0.538868    0.487932   0.0157997
       0.675          10    0.518204    0.490959   0.0145069
       0.675          11    0.471666    0.489205   0.0132937
       0.675          12    0.491752    0.489418   0.0121875
       0.675          13    0.487046    0.489235   0.0112514
       0.675          14    0.472782     0.48806   0.0105089
       0.675          15    0.500238    0.488872  0.00983965
       0.675          16    0.514534    0.490476  0.00935448
       0.675          17    0.555832     0.49432  0.00956163
       0.675          18    0.447486    0.491718  0.00937776
       0.675          19    0.457434    0.489914  0.00905614
       0.675          20    0.510468    0.490942  0.00866145
         0.7           1     0.47422     0.47422           0
         0.7           2    0.454806    0.464513  0.00686389
         0.7           3    0.492038    0.473688  0.00877835
         0.7           4    0.486024    0.476772  0.00710488
         0.7           5     0.39024    0.459466   0.0164899
         0.7           6    0.491588    0.464819   0.0145848
         0.7           7    0.471056     0.46571   0.0125284
         0.7           8    0.411556    0.458941   0.0126597
         0.7           9    0.480694    0.461358   0.0114815
         0.7          10     0.41452    0.456674   0.0112482
         0.7          11     0.41318     0.45272   0.0108985
         0.7          12    0.451744    0.452639  0.00999058
         0.7          13     0.45725    0.452994  0.00922837
         0.7          14     0.43058    0.451393  0.00870696
         0.7          15    0.388308    0.447187  0.00908561
         0.7          16    0.481202    0.449313  0.00876295
         0.7          17    0.399522    0.446384  0.00872323
         0.7          18    0.411228    0.444431  0.00845442
         0.7          19    0.355988    0.439776  0.00920212
         0.7          20      0.4019    0.437882  0.00893476
       0.725           1      0.4403      0.4403           0
       0.725           2     0.35889    0.399595   0.0287828
       0.725           3    0.311286    0.370159   0.0307549
       0.725           4      0.3833    0.373444    0.023241
       0.725           5    0.463496    0.391454   0.0246006
       0.725           6    0.355568    0.385473   0.0212152
       0.725           7    0.360346    0.381884   0.0184856
       0.725           8    0.366372    0.379945   0.0162763
       0.725           9    0.403986    0.382616   0.0146854
       0.725          10    0.340626    0.378417   0.0138041
       0.725          11    0.440426    0.384054   0.0136518
       0.725          12    0.371412    0.383001   0.0125547
       0.725          13    0.416434    0.385572   0.0118494
       0.725          14     0.42407    0.388322   0.0113176
       0.725          15    0.404232    0.389383   0.0106127
       0.725          16    0.370342    0.388193   0.0100159
       0.725          17    0.379048    0.387655  0.00944117
       0.725          18    0.418652    0.389377  0.00907236
       0.725          19    0.376798    0.388715  0.00861899
       0.725          20    0.379078    0.388233  0.00820149
        0.75           1    0.368944    0.368944           0
        0.75           2    0.359332    0.364138  0.00339836
        0.75           3     0.33116    0.353145  0.00925699
        0.75           4    0.332768    0.348051  0.00822593
        0.75           5    0.338006    0.346042  0.00682166
        0.75           6     0.32408    0.342382  0.00659401
        0.75           7     0.39321    0.349643  0.00878282
        0.75           8     0.43547    0.360371     0.01264
        0.75           9    0.396188    0.364351   0.0118455
        0.75          10     0.30578    0.358494   0.0120221
        0.75          11     0.37577    0.360064   0.0110313
        0.75          12    0.386674    0.362282   0.0103325
        0.75          13    0.381494     0.36376  0.00964279
