#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
        0.65           2     0.46037    0.446366  0.00990203
        0.65           3    0.397959    0.430231   0.0147362
        0.65           4    0.446979    0.434418   0.0116318
        0.65           5    0.397847    0.427103   0.0113749
        0.65           6     0.41625    0.425295  0.00962181
        0.65           7    0.470719    0.431784   0.0102035
        0.65           8    0.395581    0.427258  0.00988073
        0.65           9    0.401429    0.424388  0.00919023
        0.65          10    0.409203     0.42287  0.00839574
        0.65          11      0.3927    0.420127  0.00806805
        0.65          12    0.460032    0.423452  0.00805192
        0.65          13    0.471335    0.427136  0.00823198
        0.65          14    0.414864    0.426259  0.00769051
        0.65          15    0.454891    0.428168  0.00741091
        0.65          16    0.442189    0.429044  0.00699935
        0.65          17    0.431808    0.429207  0.00658951
        0.65          18    0.425362    0.428993  0.00622689
        0.65          19    0.436722      0.4294  0.00591243
        0.65          20    0.424428    0.429151  0.00562203
       0.675           1    0.435285    0.435285           0
       0.675           2    0.454914    0.445099  0.00694016
       0.675           3    0.456712     0.44897  0.00560326
       0.675           4    0.416838    0.440937  0.00812758
       0.675           5    0.436111    0.439972  0.00655913
       0.675           6    0.448242     0.44135  0.00560887
       0.675           7    0.440724    0.441261  0.00480832
       0.675           8    0.459561    0.443548  0.00472017
       0.675           9    0.444441    0.443648  0.00419674
       0.675          10    0.433697    0.442653  0.00389325
       0.675          11     0.43293    0.441769  0.00363827
       0.675          12    0.445319    0.442065  0.00334709
       0.675          13    0.411538    0.439716  0.00382564
       0.675          14    0.466779    0.441649  0.00401113
       0.675          15    0.446332    0.441962  0.00375585
       0.675          16    0.435052     0.44153  0.00354585
       0.675          17    0.440609    0.441476  0.00333768
       0.675          18    0.442695    0.441543  0.00315294
       0.675          19    0.441352    0.441533  0.00298701
       0.675          20    0.456756    0.442294  0.00293304
         0.7           1    0.405691    0.405691           0
         0.7           2    0.383623    0.394657  0.00780221
         0.7           3    0.432112    0.407142   0.0114442
         0.7           4    0.429138    0.412641  0.00981586
         0.7           5    0.425216    0.415156  0.00816851
         0.7           6    0.434918     0.41845  0.00744155
         0.7           7    0.449115     0.42283  0.00755871
         0.7           8    0.411264    0.421385  0.00675071
         0.7           9    0.430046    0.422347  0.00606885
         0.7          10    0.415901    0.421702  0.00549609
         0.7          11    0.423134    0.421833  0.00499799
         0.7          12    0.413575    0.421144  0.00462861
         0.7          13    0.421389    0.421163   0.0042726
         0.7          14    0.422787    0.421279  0.00396899
         0.7          15    0.422358    0.421351  0.00370504
         0.7          16    0.442822    0.422693  0.00370855
         0.7          17    0.435397     0.42344   0.0035649
         0.7          18    0.434287    0.424043   0.0034174
         0.7          19     0.42898    0.424303   0.0032474
         0.7          20    0.426407    0.424408  0.00308673
       0.725           1    0.446904    0.446904           0
       0.725           2    0.448766    0.447835 0.000658321
       0.725           3    0.431685    0.442452   0.0044175
       0.725           4     0.44199    0.442336  0.00331463
       0.725           5    0.426428    0.439154  0.00388975
       0.725           6    0.440604    0.439396  0.00324894
       0.725           7    0.420376    0.436679   0.0037528
       0.725           8    0.440035    0.437098  0.00330706
       0.725           9    0.462944     0.43997  0.00399648
       0.725          10    0.442708    0.440244   0.0036062
       0.725          11    0.460232    0.442061  0.00370803
